City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),Reason for Increase/Decrease in emissions,City Location,Country Location
Ayuntamiento de San Luis Potosí,50369,Mexico,San Luis Potosí,,2014,2013,Other: Kioto,"The Kyoto Protocol (1997) considered as the first mechanism regarding international environmental issue, guided to reduce the emission of Greenhouse Gases (GHG) that cause climate change.
From the three methodological approaches presented by the IPCC (Metodology of the Intergovernmental Panel of experts about Climate Change), the method was applied. Tier level 1 (Tier 1) this simplified method includes factors of emission by default that cover the main resources and sinks of greenhouse gases, Carbon Dioxide (CO2), Methane (CH4), and Nitrous Oxide (N2O).",4026722,"There is no information about it until now, the only inventory done was GHG in 2010, so that, there is not a parameter to compare.","(22.1564699, -100.9855409)","(23.634501, -102.552784)"
City of Goiânia,42123,Brazil,Goiânia,,2014,2010,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"The Protocol for Global Community - Scale GHG Emissions (GPC 2012) was used as standard for the categorization and allocation of emissions and aggregation of results.
The GPC consists of a compilation of guidelines for the preparation of municipal inventories of GHG emissions. The GPC 2012 shares the terminology of various international programs reporting of emissions, including the C40 Cities Climate Leadership Group, the International Local Government GHG Emissions Analysis Protocol (IEAP-ICLEI) and the GHG Protocol Corporate Accounting and Reporting Standard. Moreover, GPC 2012 converses directly with the IPCC 2006 Guidelines for National GHG Inventories.
Aiming at a broad identification of emission sources and the establishment of a flow of information necessary for the completion of this study, four teams were created themes, being: stationary units, mobile units, and waste, industrial processes and product uses. The teams were grouped in four thematic workshops held between 26 and 27 June 2012 at the Administrative Center of the city of Goiania. During the implementation of these workshops were identified institutions and those responsible for sending the information necessary for calculations of emissions of greenhouse gases in the municipality.
For calculations of GHG emissions used the IPCC Inventory Software (IIS) version 2.0, a software developed and provided by the Intergovernmental Panel on Climate Change (IPCC).
The data were placed on the software as a correspondence between GPC and IPCC categories, except in the case of the activities of electricity consumption (scope 2 emissions, the GPC category that has no corresponding IPCC - these emissions have been included in Section 5 - other).
Another category that deserves observation refers to the disposal of solid waste in landfills. For this category we used the GPC, which allocates all expected emissions inventory in the year in which the waste is landfilled, IIS was not used for the calculation of this emission source.",2016320,Goiania has only one measure. We do not have last year's data to be compared.,"(-16.6868912, -49.2647943)","(-14.235004, -51.92528)"
City of Seattle,16581,USA,Seattle,C40,2014,2012,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),Please see detailed source notes throughout the inventory document.,,"This 2012 GHG inventory finds that the “core” emissions targeted by the Climate Action Plan -- have been similar in each of the four years analyzed: 1990, 2005, 2008, and 2012.  After accounting for GHG offsets purchased by Seattle City Light (for the small portion of fossil fuel based electricity in their portfolio), total core emissions have declined from approximately 3.8 million tons in 1990 to approximately 3.6 million tons in 2008 and 2012.    

This decline, though modest, is more impressive considering Seattle’s population and economy have grown considerably since 1990.  On a per resident basis, Seattle’s emissions declined  22% per since 1990 and 6% since 2008.

A number of factors led to emissions decreases that counteracted the effect of population and economic growth, especially (as already noted) the decrease in carbon intensity of Seattle City Light’s electricity, more efficient cars and trucks, and building efficiency (including smaller dwellings) and fuel switching.  Increased efficiency of air travel also contributed to a decrease in GHG emissions.","(47.6062095, -122.3320708)","(37.09024, -95.712891)"
Faro,50673,Portugal,Faro,,2014,2010,"Other: IrRADIARE, Science for evolution","The analysis proposed scenarios for the evolution of energy demand for a time horizon that ends in 2030 .
The scenarios are calculated using a mathematical model which considers base projections available through international organizations and bodies responsible for planning public and prospective studies. These projections refer to variables macroeconomic and demographic .
Addition are considered scenarios of evolution of the system National estimates for energy national space.
Among the set of entities whose references were considered highlights as Eurostat , the European Agency
Environment , the International Agency Energy , the Directorate - General for Mobility and Transport of the European Commission, the General Directorate of Energy European Commission , the JRC Research of the European Commission (JRC), the Organization for Economic Cooperation and Economic Development and
Naturally the national bodies relevant such as the General Directorate Energy and Geology, the Portuguese Agency Environment , the Entity Energy Services Regulatory and the National Institute of Statistics.
The macroeconomic scenario and energy proposed by the European Commission, in 2009 the "" European Energy and Transport - Trends to 2030 "" stands out among the elements considered reference of the proposed scenarios.
These scenarios used as feature the PRIMES model, supported by some more specialized models and 12/142 databases, such as those focusing to predict the evolution of international energy markets.
It was also considered as a reference, the POLES model of the energy system world , the GEM - E3, and some models macroeconomics.",265.85,,"(57.9441874, 19.1424789)","(39.399872, -8.224454)"
Comune di Padova,36494,Italy,Padova,,2014,2005,Other: LAKS Inventory Quantification Tool for Italy,"The LAKS Inventory Quantification Tool is a tool created to assist municipal governments working in the LAKS Project with the calculation of their ""Government Operations"" greenhouse gas emissions and the geopolitical area ""Community"" CO2e emissions.  It has been developed by the ICLEI Europe specifically for use by LAKS local governments in Italy.",1892158,,"(45.411639, 11.8783489)","(41.87194, 12.56738)"
City of Turku,50154,Finland,Turku,,2014,2011,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), road traffic, agriculture and waste management.",1033000,Due to long term determined policy. For example the share of renewable energy sources in district heating has been increased.,"(60.4518126, 22.2666303)","(61.92411, 25.748151)"
City of Yokohama,31113,Japan,Yokohama,C40,2014,2010,"Other: Yokohama determines levels of greenhouse gas (GHG) emissions, promotes their reduction, and manages the progress of reduction on the basis of the Yokohama City Action Plan for Global Warming Countermeasures (district measure edition; 2011), which was prepared in accordance with the provisions of Article 20, Item 3, Paragraph 3 of the Act on Promotion of Global Warming Countermeasures.  It measures GHG emissions in accordance with the manual for formulation of action plans by local public entities for global warming countermeasures (regional measure edition, Vol. 1), which was formulated by the Ministry of the Environment.","
Carbon dioxide (CO2), methane (CH4), dinitrogen monoxide (N2O), hydrofluorocarbon (HFC), perfluorocarbon (PFC), sulfur hexafluoride (SF6)

   *Calculation method for CO2 only
*CO2: Fuel combustion, use of electrical power supplied by other parties, use of heat supplied by other parties, waste incineration

[Fuel combustion]
Determination of the yearly amount of consumption for various types of fuel (fuel (heavy) oil, city gas, etc.) in each economic field (energy conversion, industrial, business, residential, and transportation) from various statistical data, and multiplication of the amount for each fuel by its particular CO2 emission coefficient.

[Use of electrical power]
Based on the indirect emission method.  Collection of data for yearly amount of electrical power consumption in each division from electric power companies and multiplication of the amount by the CO2 emission coefficient (released by the electric power companies).

[Use of heat]
Based on the indirect emission method.  Calculation from the yearly amount of heat in each division supplied by heat supply companies and the amount of CO2 emissions.

[Waste incineration]
Multiplication of the yearly amount of incineration of plastics (several types) and oils (excluding animal and vegetable oils) by their respective CO2 emission coefficients.

*CH4: emissions accompanying fuel combustion, agriculture-sourced emissions, waste-sourced emissions, and emissions caused by conversion of forests and grasslands.

*N2O: emissions accompanying fuel combustion, emissions caused by industrial processes, emissions due to use of organic solvents and other products, agriculture-sourced emissions, and waste-sourced emissions.

*HFC, PFC, SF6: emissions at the stages of manufacturing and use",19300000,Because emission coefficients in the power sector worsened under the influence of the Great East Japan Earthquake.,"(35.4437078, 139.6380256)","(36.204824, 138.252924)"
Comune di Genova,36262,Italy,Genova,,2014,2005,Other: Baseline 2005 SEAP,I used the data that have been monitored by the Province of Genoa and reported on SEAP,2376739,,"(44.3479608, 9.3184145)","(41.87194, 12.56738)"
City of Paris,31175,France,Paris,C40,2014,2009,Other: Bilan Carbone (R),"We counted the direct and indirect GHG emissions that made possible the activity of the Paris territory as it was in 2009. e.g. for 1 liter of gasoline consumed in a parisian vehicle, the GHG emissions related to oil extraction, refining, and engine combustion are considered.

The methodology used is the Bilan Carbone (R) methodology, that gives national calculation ratios and rules to apply within the French territory. This method gives CO2e emissions aggregated for the 6 GHG of the Kyoto protocol.",7413300,"GHG balance have been assessed for Paris in 2004 and in 2009 so far. Emissions decreased from 2004 to 2009 thanks to the Climate and Energy Action Plan impact.  The figure will be updated in 2016 based on the emissions for the year 2014. So far, the figures provided in both 2013 and 2014 are the same because they account for the year 2009.","(48.856614, 2.3522219)","(46.227638, 2.213749)"
City of Chicago,3203,USA,Chicago,C40,2014,2010,Other: 2007 eGRID and 2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Several protocols for estimating GHG emissions were used to prepare the 2010 Regional GHG Inventory, as no standard protocol for the development of local or regional community-wide inventories currently exists. ICLEI ‘s community inventory protocol which was not released at the time of the inventory may be utilized for future updates to the Chicago Region’s emissions inventory. These GHG protocols used in the 2010 Regional GHG Inventory are listed below, and were applied to each sector, as relevant and as discussed below for each emissions sector. 

The LGOP for Greenhouse Gas Assessments developed by ICLEI, CAR, TCR and CARB (California Air Resources Board 2010a): This protocol includes methods for estimating emissions resulting from government buildings and facilities, government fleet vehicles, wastewater treatment and potable water treatment facilities, landfill and composting facilities, and other operations. This protocol was developed primarily for use by California local governments; although it contains methodologies for estimating emissions pertinent to community emissions sources. Further, this protocol can be modified for use outside of California, although in some cases, data sources or other references may need to be modified accordingly to local conditions or constraints.

The USEPA Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990–2007 (U.S. Environmental Protection Agency 2009a): The national inventory documentation includes standard methodology and emission factors for nationwide GHG emissions inventorying. 

The IPCC Guidelines for National Greenhouse Gas Inventories (Intergovernmental Panel on Climate Change 2006a): This document is the international standard for inventories and provides much of the baseline methodology used in the national and statewide emission inventories. 

The GHG Protocol Corporate Standard developed by WRI and the WBCSD (World Resources Institute 2004): Although this is a protocol designed for use primarily by private corporations, it was one of the first documents to establish the principles and steps to developing a GHG inventory. This document has influenced the development of other types of GHG protocols, including those for municipal, government, and community-wide emissions.

Emissions are commonly divided into three categories or “scopes”, as follows (World Resources Institute 2004):
Scope 1: Direct GHG emissions, such as emissions from combustion of natural gas or in vehicles, where the emission occurs directly at the activity causing the emission.
Scope 2: Indirect GHG emissions, such as emissions associate with the consumption of electricity due to power plant emissions or methane emissions at a landfill that receives waste, where the emissions occur at a location separate from the activity causing the emission.

Scope 3: All other indirect emissions not covered in Scope 2 that are not owned or controlled by the reporting jurisdiction, such as the emissions resulting from the extraction and production of purchased materials and fuels.
The 2010 Regional GHG Inventory includes Scope 1 and 2 emissions (World Resources Institute 2004), including all direct and indirect emissions; Scope 3 emissions are not included.",,,"(41.8781136, -87.6297982)","(37.09024, -95.712891)"
City of Berlin,31153,Germany,Berlin,C40,2014,2010,"Other: Statistical Institute Berlin-Brandenburg,","The balance of energy-related CO2 emissions is calculated according to a methodology agreed between the German states. There are two ways to look at energy-related CO2 emissions: (1) The calculation of carbon balance based on primary energy sources is subdivided by the sources of emissions, energy transformation and final energy consumption. This method shows only the total amount of carbon dioxide emitted in the city but it does not include the impact of external electricity trade. Therefore, the consumption of final energy consumers is not reflected. That is why Berlin prefers method (2) which is a consumption-based accounting of CO2 emissions. This methodology of calculating CO2 emissions is based on data from the end-use sectors, and puts electricity imports into account. It also adds to the end-users’ emissions those produced by generation of electricity and district heating in the energy transformation sector. Consumption-based accounting of CO2 emissions is therefore one indicator to find out the end-users’ emissions in a region.
The calculation is based on the energy balance as comprehensive and complete presentation of the energy consumption as a basis. In addition there are specific CO2 factors necessary based on the calorific value of an energy source offered by the Federal Environment Agency differentiated according to energy source and application.",21299000,"The energy and CO2 balance for the year 2010 presented by the Office for Statistics Berlin-Brandenburg state significant increases of the final energy consumption ( FEC) and CO2 emissions compared with the year 2009. Final energy consumption compared to the previous year increased by 7.4% and CO2 emissions by 5.9%.
 Compared to the base year 1990 Berlin has achieved a reduction of 27.4% CO2. The increases in CO2 emissions results from the manufacturing industry ( +9.2 %), air transport ( +13.6 %) and the area of household, commercial and services ( +6.6 %). The latter area is crucial. It accounted for additional emitted 0,916 million tons of CO2. The increases were mainly in the mineral fuels, gases, and district heating. Obviously, the demand for heating energy in 2010 was very pronounced. This can be explained by the harsh winter of 2010. The Berlin development has not been invulnerable to the national trend. There, too, the final energy consumption increased by 7.5 percent.","(52.5200066, 13.404954)","(51.165691, 10.451526)"
City of Pittsburgh,35877,USA,Pittsburgh,,2014,2008,International Emissions Analysis Protocol (ICLEI),"Citywide greenhouse gas (GHG) emissions are defined as all emissions within the municipality’s geographic boundaries. Citywide emissions include residential, commercial, and industrial activities as well as transportation and waste generation within city limits. Municipal emissions are embedded in the citywide inventory because municipal operations are within the city’s geographic boundaries. 

The 2008 Pittsburgh Greenhouse Gas Emissions Inventory used ICLEI’s CACP software and Pittsburgh’s 2003 baseline Greenhouse Gas Emissions Inventory to guide citywide emissions inventorying in the absence of a formal citywide emissions reporting protocol. As with the municipal inventory, the data was converted to tons CO2e. 

Pittsburgh’s 2003 and 2008 citywide GHG inventories are bounded by Pittsburgh city limits. This is a necessary delimitation for a manageable analysis. One way Pittsburgh is working to address the exclusion of Pittsburgh’s suburb neighborhoods, ports, and airports from the 2008 Pittsburgh GHG inventory data is to expand our reduction strategies and activities to include those entities whenever possible, even if they are or will be measured under separate inventories, such as Allegheny County’s inventory process. 

The 2008 Pittsburgh citywide inventory includes all Scope 1 and Scope 2 emissions except fugitive emissions. The Scope 3 emissions included are those from waste generated within Pittsburgh city limits.

The reported emission values are rounded.",6000000.79,"In 2008, Pittsburgh’s CO2e emissions totaled 6.79 million tons, a 28 percent increase from adjusted 2003 emissions levels of 5.30 million tons CO2e. Thus, to effectively meet the Pittsburgh greenhouse gas emissions reduction goal set in the Pittsburgh Climate Action Plan, Version 1.0 as 20 percent below 2003 levels by 2023, Pittsburgh must now work to reduce its 2008 greenhouse gas emissions levels by 2.55 million tons CO2e from 2008 levels.  

There are multiple explanations for why Pittsburgh’s total greenhouse gas emissions increased 28 percent between 2003 and 2008:
• Increased electricity usage
• Expanded transportation data to include all road types within Pittsburgh city limits
• More accurate natural gas combustion estimates using company-specific usage data and the actual number of natural gas customers • The inclusion of the Bellefield Boiler Plant’s commercial coal and natural gas combustion to produce steam in the Oakland area, excluded from 2003 data
• The inclusion of kerosene and fuel oil combustion, excluded from 2003 data
• The exclusion of sequestration factors while calculating solid waste emissions, thereby treating solid waste as an emitter rather than a sink
• Weather differences.","(40.4406248, -79.9958864)","(37.09024, -95.712891)"
Fafe,50671,Portugal,Fafe,,2014,2008,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Determination of CO2 emissions methodology is based on IPCC principles. Presented data is determined by applying emission factors to the data resulting from energy matrix. 
The energy matrix is calculated using a mathematical model that is based on local energy consumptions and macroeconomic and demographic variables.",179262,,"(41.4508217, -8.1728619)","(39.399872, -8.224454)"
City of Athens,31149,Greece,Athens,C40,2014,2007,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,4471000,,"(37.983917, 23.7293599)","(39.074208, 21.824312)"
City of Dallas,35860,USA,Dallas,,2014,2010,Other: US Community Protocol for Accounting and Reporting,Methodology included a combination of Environmental Protection Agency (EPA) reported emission factors and EPA recommended emission modeling tools.,17229388,,"(32.7801399, -96.8004511)","(37.09024, -95.712891)"
Comune di Venezia,36254,Italy,Venice,C40,2014,2005,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Our BEI (Baseline Emission Inventory) has been made according to the Covenant of Mayors Guide Lines.,1418344,"Our BEI is based on 2005. Unfortunately, we have not a more updated inventory so that's why we consider that our emissions have no change. Next update is scheduled for the end of 2014 and will be liely based on 2012 or 2013.","(45.4332515, 12.3210704)","(41.87194, 12.56738)"
Prefeitura de Sorocaba,50383,Brazil,Sorocaba,,2014,2012,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"This inventory were considered for calculating the following greenhouse gases ( GHG ) : Carbon Dioxide ( CO2 ), methane ( CH4 ) , nitrous oxide ( N2O ) , Hydrochlorofluorocarbons ( HFC "" s ) , Perclorofluorcarbonos ( PFC "" s ) and hexafluoride Sulfur ( SF6 ) . , 2000 IPCC Good Practice Guidance and Management in Natural Uncertanty Greenhouse Gas Inventories ; 2006 IPCC Guidelines for National , Greenhouse Gas Inventories ISO 14064-1/2006 : To estimate GHG emissions in Sorocaba , the following references were used : Greenhouse Gases , ISO 14064-2/2007 : Greenhouse Gases , Global Protocol for Community - Scale Greenhouse Gas Emissions ( GPC ) 2012. Potential GHG Global Warming was used , according to the Second Assessment Report of the IPCC (1995 ) . The sectors analyzed were : agriculture, forestry and land use ( rice planting in irrigated systems , liming the soil , herd management and animal manure management , agricultural soil management , agricultural waste burning and land use change ) , energy ( mobile combustion , stationary combustion and electricity consumption ) ; industry , and waste ( landfill and sewage treatment ) . Databases respected in the country , as the IBGE and SEADE were used , in addition to consulting the ANP ( National Petroleum Agency ) , municipal government information , agencies and agriculture companies .",1113971.3,"The 1st nis inventory in process, so we do not have an accurate assessment of its results","(-23.4774899, -47.4220615)","(-14.235004, -51.92528)"
City of Las Vegas,10495,USA,Las Vegas,,2014,2012,International Emissions Analysis Protocol (ICLEI),"Community data was collected from local utilities (NV Energy and Southwest Gas), the Nevada Department of Transportation's Annual VMT Report for Clark County, the Regional Transportation Commission of Southern Nevada, and the Nevada Department of Environmental Protection. These data points were input into ICLEI's CACP software to obtain aggregated community emission data for Southern Nevada.",30089102,"The population of Las Vegas has stayed fairly constant in the last 5 years.  Population dropped slightly after the recession, but has returned to 2009 levels.  Community emissions targets are not as rigidly defined as the municipality's, so reductions in GHG emissions are not as pronounced.","(36.1699412, -115.1398296)","(37.09024, -95.712891)"
City of Lexington,50548,USA,Lexington,,2014,2011,US Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),ICLEI CACP protocols.,6574968,"The reason is manifold.  Annual vehicle miles travelled (VMT) dropped by 40 million miles since our 2007 survey.  This is believed due to the recession and also to fewer younger adults driving which mirrors national trends.  Electricity use was down 7.6% over the last 4 years (average of 1.9% annual reduction).  Waste disposal (tonnage) is down 11.3% since 2007, an average annual reduction of 2.8%.","(38.0405837, -84.5037164)","(37.09024, -95.712891)"
City of Lisbon,36159,Portugal,Lisbon,,2014,2010,Other: Own methodology,"The data for the final energy use in the city of Lisbon was obtained from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt).
To estimate the emissions from fuel use (scope 1), the emission factors from the 2006 IPCC Guidelines for National Greenhouse Gas Inventories were used.
To estimate the emissions from electricity use (scope 2), the emission factor of the Portuguese electric system was obtained from the Portuguese Environmental Agency (www.apambiente.pt). The latest value was used, which refers to 2009 conditions.",3133805,"Although the emissions from buildings increased, the emissions from transport decreased enough to offset that effect, leading to a 1.8% decrease in overall emissions.
Regarding scope 1 and 2 emissions, the increase in electricity use led to a scope 2 emissions increase, which was offset by the scope 1 emissions reduction due do the decrease in the use of transport fuels.","(38.7222524, -9.1393366)","(39.399872, -8.224454)"
City of Denver,32550,USA,Denver,,2014,2012,"Other: Denver used a hybrid methodology that mostly employs WRI protocols and ICLEI/CHO.  WRI was used for upstream (indirect) emissions that occur outside of our political boundary (fuel, concrete, food and packaging). This method is similar to the the most recent release by ICLEI as the US community protocol.","This workbook provides all of the necessary calculations to review the currrent inventory as well as update the inventory for future years based on new data, including population and the consumption of electricity, natural gas, vehicle fuels and key materials. The methodolody is explained in more detail in the peer-reviewed  journal paper ""A Demand-Centered, Hybrid Life-Cycle Methodology for City-Scale Greenhouse Gas Inventories"" located at http://pubs.acs.org/doi/abs/10.1021/es702992q .",8934000,"Recent statewide policies that have mandated higher percentages of renewables in our utility mix, and cleaner fuels for electricity production have reduced our CO2 emissions factor for our largest emitting sectors, i.e. the built environment.   In addition, regional build out of transit options, including light rail, bus lanes, and mode share options may have contributed to to slight decreases in transportation specific emissions.","(39.737567, -104.9847179)","(37.09024, -95.712891)"
Free and Hanseatic City of Hamburg,35868,Germany,Hamburg,,2014,2011,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The emissions figures in fields C1.4-C1.6 do solely state Hamburg’s CO2 emissions (sum of Scope 1 and Scope 2 emissions) – they do not include any CH4, N2O etc. emissions. This is due to the statistical principles used in Germany for the ""Energiebilanzen der Bundesländer"" (energy balances of the German federal states) and the ""CO2-Bilanzen der Bundesländer"" (CO2 balances of the German federal states), which are based on the energy consumption within the respective statistical area.
Nevertheless, these figures do reflect Hamburg’s CO2e emissions quite accurately, because CH4, N2O etc. emissions only cause less than 4% of Hamburg’s overall CO2e emissions.",17572000,This corresponds with a much warmer winter than in the year before.,"(53.5510846, 9.9936818)","(51.165691, 10.451526)"
City of Toronto,31117,Canada,Toronto,C40,2014,2011,Other: The International Basic Standard for Community-Scale GHG Emission Inventories (ICLEI/C40/WB),"Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste.

a. Energy Heating and Cooling:
The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc...

b. Transportation: 
Data are collected and standardized only for car and truck traffic through the City using four main sources: 
-truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division
-accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division
-the number of Ministry of Transportation registered vehicles in the City, and;
-a Canadian standard developed by a Canadian consultant

The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and the EPA’s Mobil 6.2 software is used to calculate total emissions from mobile sources.

c. Waste: 
Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.",20662821.41,,"(43.653226, -79.3831843)","(56.130366, -106.346771)"
Wellington City Council,43937,New Zealand,Wellington,,2014,2012,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"The GHG Inventory for the Wellington Region follows the methodology outlined in the Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) - Pilot Version 1.0. The project team developing the Inventory also participated in the international pilot study implementing and improving the GPC methodology.  
The GPC Pilot Version 1.0 (May 2012) methodology is derived from the National Inventory accounting guidelines of the Intergovernmental Panel on Climate Change, however, it is different to National Inventory reporting (which assesses direct emissions across  New Zealand). The community Inventory assesses both direct (production-based) emission sources within the geographic area (Scope 1) and indirect (consumption-based) emission sources associated with goods and services imported into the geographic area, such as electricity from the national grid, transport into the area that originates outside the area, and imported waste (Scope 2 and 3). The GPC methodology follows emerging international best practice. 
Due to the differences in methodological approach, the Regional, City and Districts absolute and per capita emissions cannot be compared directly to the absolute and per capita emissions reported in the New Zealand National GHG Inventory or emissions accounted for under the national Emissions Trading Scheme. However relative trends and the significance of individual emissions sources can still be compared in many cases.    
 
Even though the GPC methodology was in a pilot phase during the development of this report, we anticipate the GPC to become the accepted international standard for community Inventory development. Participating in the pilot study allows the experience of the Wellington Region’s Councils to contribute to the final version of the GPC. 
While the methodology is detailed in the main report, the following aspects are particularly worth noting:  
 Due to data limitations, the study does not assess emissions from international aviation and international shipping.  Due to data limitations, the study estimates Regional emissions from industrial product use by scaling national industrial emissions from product use on a population basis after removing large point sources.    The study accounts for forest carbon stock changes from afforestation, reforestation, deforestation and forest management (i.e. it applies land-use accounting conventions under the UN Framework Convention on Climate Change rather than the Kyoto Protocol).  It treats emissions from harvesting and deforestation as instantaneous rather than accounting for the longer-term emission flows associated with harvested wood products.   The study accounts for waste-related emissions from both open and closed landfills.    Emissions are expressed on a carbon dioxide-equivalent basis using the 100-year global warming potentials from the IPCC Fourth Assessment Report: Climate Change 2007.",1301739,"Reduced petrol use, electricity use and natural gas use. 

Changes in national grid emissions factor.","(-41.2864603, 174.776236)","(-40.900557, 174.885971)"
City of San Diego,35884,USA,San Diego,,2014,2009,2006 IPCC Guidelines for National Greenhouse Gas Inventories,IPCC,12624227,"Emissions did not change much from 2008 (12.83 MMT) to 2009 (12.62 MMT). Residential, commercial, & industrial electricity use were all down slightly; residential & commercial natural gas use were down slightly; gasoline use & vehicle miles traveled increased slightly.","(32.715738, -117.1610838)","(37.09024, -95.712891)"
Ayuntamiento de Madrid,31171,Spain,Madrid,C40,2014,2011,Other: See answer C1.3,"The GHG Report comprehends Direct and Indirect Emissions (Scope 1 and 2).
- The Direct Emissions calculation is part of the Municipal Air Pollutant Emission Inventory (including GHG but also Particles, NOx, SO2, …). This inventory follows CORINAIR Methodology and complies with IPPC and TFEIP requirements.
- The Indirect Emissions are calculated using electricity grid consumption data and national grid emission factors.",11527000,"Madrid has reduced its energy consumption in a 4.8 %  and the GHG direct emissions decreased a 7.5 % in the period 2011 - 2010. 

However, the emission factor of the national electric power has increased in a 26.9 %. The indirect emissions increased a 23 % in the period 2011 - 2010.","(40.1076253, -3.3875673)","(40.463667, -3.74922)"
City of Amsterdam,31148,Netherlands,Amsterdam,C40,2014,2011,Other:,Energy use,5094000,,"(52.3702157, 4.8951679)","(52.132633, 5.291266)"
Stadt Zürich,35449,Switzerland,Zurich,,2014,2012,Other: Methodology according to the 2000-Watt society (www.2000watt.ch),"The 2000-Watt society methodology is a concept of sustainable development that uses two indicators: Primary energy demand and greenhouse gas emissions. The methodology is based on the final energy demand. Primary energy factors and GHG emission coefficients are according to the ecoinvent database (database with consistent and transparent, up-to-date Life Cycle Inventory (LCI) data – www.ecoinvent.org/database/). The grey energy of net imported other goods and services is not included in the methodology used by the city of Zurich as there is no specific data available. The methodology does not include emissions from non-energetic sources (e.g. landfills, waste water treatment).

Primary energy, final energy and effective energy: The 2000-watt methodology defines primary energy as the total energy present in the original energy source, plus its grey energy. The energy that reaches the customer, after all conversion and transmission losses, is called final energy. In turn, only a part of this is actually used: the effective energy. The rest is lost as waste heat. Basis for all calculations is the final energy demand.

Territorial principle: Basis of the methodology is the territorial principle. It refers to the energy consumed in the city area and the emissions which occur there. The energy sources grey energy and grey emissions are also taken into account. The grey energy of net imported other goods and service is not included in the 2000 watt society methodology (lack of specific data). However, the aim is to separately calculate and indicate the gray energy of net imported other goods and services.

All calculations in regards to primary energy demand and greenhouse gas emissions are made with the balancing program ECORegion (http://www.ecospeed.ch/).",2053157,"The course of greenhouse gas emissions since 2008 is more or less constant. We assume that the positive effects of modernizing insulation of buildings are mostly compensated  by increased demands for comfort (e.g. higher room temperatures, larger living spaces, longer heating periods).","(47.3686498, 8.5391825)","(46.818188, 8.227512)"
