Organization;Account number;Country;City;C40;Reporting year;Accounting year;Primary protocol;Primary protocol comment;Total city-wide emissions;City location;Country location;Accounting year start;CDP Region;Reporting authority;Access;City-wide emissions inventory;Accounting year end;Duration;Administrative city boundary;Inventory boundary (compared to Administrative city boundary);Common Reporting Framework inventory format (GPC);Gases included;Scopes included;Scope 1 generation of grid supplied energy;Scope 1 excluding generation of grid supplied energy;Scope 2 generation of grid supplied energy;Scope 2 excluding generation of grid supplied energy;Scope 3 generation of grid supplied energy;Scope 3 excluding generation of grid supplied energy;Scope 1;Scope 2;Scope 3;TOTAL BASIC emissions (GPC);TOTAL BASIC+ emissions (GPC);Comment;Change in emissions;Primary reason for the change in emissions;Land area (in square km);Population;Population Year;Average altitude (m);Average annual temperature (in Celsius);City GDP;GDP currency;Year of GDP;GDP Source;Last update
Prefeitura de Fernandópolis;60278;Brazil;Fernandópolis;;2019;;;;;POINT (-50.2475 -20.2858);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;;;;;;;;;;;;;;;;;;;;;;;;68823.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Municipality of Porto Alegre;35880;Brazil;Porto Alegre;;2019;2013-01-01 - 2013-12-31;;;;POINT (51 30);;2013-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2013-12-31;364 days;;Same – covers entire city and nothing else;;;;;;;;;;;;;;;;;;;1479101.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Bangkok Metropolitan Administration;31150;Thailand;Bangkok;;2019;2016-01-01 - 2016-12-31;2006 IPCC Guidelines for National Greenhouse Gas Inventories;Because BMA have the updated GHG emissions data in 2016 by using GHG Inventory Guideline from IPCC standard. Now we are processing on the alignment of the IPCC 2016 Inventory with  the GPC framework. We expect to finish it at the end of July. After that  we will update the data with GPC framework again.;;POINT (100.556 13.7712);;2016-01-01;Southeast Asia and Oceania;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;;;;;;;Decreased;Other: transport and energy sectors;;5676648.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Município de Faro;50673;Portugal;Faro;;2019;;;;;POINT (-7.93044 37.0194);;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;60974.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Prefeitura de Jahu;60292;Brazil;Jahu;;2019;-;;;;POINT (-48.5755 -22.3028);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;In progress;;;;;;;;;;;;;;;;;;;;;;;141840.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Prefeitura de São Luís;50395;Brazil;São Luís;;2019;-;;;;POINT (-38.057 -6.5344);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;In progress;;;;;;;;;;;;;;;;;;;;;;;1091868000.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Gemeente Nijmegen;54478;Netherlands;Nijmegen;;2018;2017-01-01 - 2017-12-31;Regional or country specific methodology;1 m3 natrural gas = 1.8 kg CO21 kwh electricity = 0.9 kg CO2;;POINT (5.84282 51.8449);;2017-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Administrative boundary of a local government;;CO2;;;;;;;;16254549.0;489597550.0;250000000.0;;;;Decreased;Financial conditions;;175000.0;2017.0;;;;;;;2020-05-01T03:57:54.890
Municipalidad de Oro Verde;841326;Argentina;;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.;;;;2016-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;;153742.2;;5467.5;;819.65;;;;;;;This is our first year of calculation;Other: Falta de datos;;6221.0;2016.0;;;;;;;2020-05-01T03:57:57.217
City of Providence;49327;United States of America;Providence;;2019;2018-01-01 - 2018-12-31;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);;;POINT (-71.4128 41.824);;2018-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2018-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;1941206.0;;527900.0;;27994.0;;;;;;;Decreased;Behavioural change;;179335.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Government of the City of Yogyakarta;54335;Indonesia;;;2019;2016-01-01 - 2016-12-30;2006 IPCC Guidelines for National Greenhouse Gas Inventories;There are 4 main components in the emissions inventory, namely: sources of emissions, emission activity data, emission factors and emission parameters / variables inventoried. For GHG inventories the emission variables will vary from source to source: carbondiokasida, methane and dinitrogen dioxide. Sources of emissions are the main activities or activities of the community that have the potential to contribute to emissions, especially in large quantities and are typical activities in a region.In general, the formula for calculating GHG emissions is as follows: E = AD x efE = Emission burden borne by the region for a certain period (tons / year)AD = Activity data from emission sources (adjust)ef = Emission factor (adjust);;;;2016-01-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2016-12-30;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;1199556.19;;;;;;;;;;;Decreased;Behavioural change;;422732.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of New Orleans;13067;United States of America;New Orleans;;2019;;;;;POINT (-90.0715 29.9511);;;North America;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;393292.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Tokyo Metropolitan Government;31111;Japan;Tokyo;;2019;2016-04-01 - 2017-03-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (139.41 35.41);;2016-04-01;East Asia;C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2017-03-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;25150295.0;37437787.0;13546749.0;57996872.0;76134832.0;;Decreased;Other;;13857443.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Carlos Tejedor;73684;Argentina;;;2019;2014-01-01 - 2014-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.;;;;2014-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, N20;;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;This is our first year of calculation;Other;;11570.0;2010.0;;;;;;;2020-05-01T03:57:57.217
City of Miami Beach, FL;63999;United States of America;Miami Beach;;2018;2016-01-01 - 2016-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-80.13 25.7906);;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;311043.23;796476.58;92016.35;1199536.16;;;;;;91917.0;2016.0;;;;;;;2020-05-01T03:57:54.890
City of Oslo;14088;Norway;Oslo;;2019;2017-01-01 - 2017-12-31;Other;The Norwegian Environment Agency publish annual greenhouse gas emission inventories for municipalities in Norway, including Oslo. The inventories cover scope 1 emissions as defined in the GHGprotocol for cities ('territorial emissions'), and heavily rely on the methodology and factors described in the 2006 IPCC Guidelines. The city of Oslo report the inventory unaltered from the Norwegian Environment Agency. The Climate Agency has coded the emission sources to GPC references. Details are included in the attachment.;;POINT (10.7522 59.9139);;2017-01-01;Europe;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;270657.0;791886.0;;;;;;;;;;;Decreased;Policy change;;673469.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of Hannover;43923;Germany;Hannover;;2019;2015-01-01 - 2015-12-31;Other;Covenant of Mayors SECAP Emissions Inventory - filled according to natioanal methodology of Klimabündnis (BISKO);;POINT (9.7356 52.3739);;2015-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2015-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;;;;;;;;;;544700.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Prefeitura de São Paulo;31184;Brazil;São Paulo;;2018;2009-01-01 - 2009-12-31;2006 IPCC Guidelines for National Greenhouse Gas Inventories;;;POINT (-46.7382 -23.5595);;2009-01-01;Latin America;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2009-12-31;364 days;;Administrative boundary of a local government;;CH4, CO2, HFCs, N20, PFCs, SF6;;;;;;;;;;;;;;;;;11253.503;2017.0;;;;;;;2020-05-01T03:57:54.890
City of Lagos;31167;Nigeria;Lagos;;2019;2015-01-01 - 2015-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (3.3792 6.52437);;2015-01-01;Africa;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2015-12-31;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;25640207.0;3693744.0;1684376.0;26443657.0;28128033.0;;Decreased;Improved data accuracy;;21000000.0;2015.0;;;;;;;2020-05-01T03:57:57.217
Comune di Massa Marittima;831823;Italy;Massa Marittima;;2019;;;;;POINT (10.8939 43.05);;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;8303.0;2017.0;;;;;;;2020-05-01T03:57:57.217
San Carlos City;73763;Philippines;;;2019;2015-01-01 - 2015-12-31;2006 IPCC Guidelines for National Greenhouse Gas Inventories;;;;;2015-01-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2015-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;;;;;;;This is our first year of calculation;Other: Not applicable since this is our first year of calculation of our city-wide emissions;;132536.0;2015.0;;;;;;;2020-05-01T03:57:57.217
Métropole Nice Côte d'Azur;50220;France;Nice;;2019;2016-01-01 - 2016-12-31;Regional or country specific methodology;"Emission data are calculated by the regional Observatory of Climate, Air and Energy. Their methodology complies with the guidelines from the French ""Pôle de Coordination des Inventaires Territoriaux"" (local emission inventory task force). All the regional observatories use the same methodology.";;POINT (7.26195 43.7102);;2016-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;2059572.0;;178787.0;;;;;;;;;Stayed the same;Emissions have not changed;;540000.0;2016.0;;;;;;;2020-05-01T03:57:57.217
City of San Antonio;43905;United States of America;San Antonio;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;POINT (-98.4936 29.4241);;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Larger – covers the whole city and adjoining areas;;CH4, CO2, N20, NF3, SF6;;;;;;;;;;;;;;Decreased;Change in available data;;1469845.0;2015.0;;;;;;;2020-05-01T03:57:57.217
Ayuntamiento de Murcia;54498;Spain;Murcia;;2018;;;;;POINT (-1.00495 37.799);;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;No;;;;;;;;;;;;;;;;;;;;;;;443243.0;2017.0;;;;;;;2020-05-01T03:57:54.890
City of St. Petersburg;49172;United States of America;St. Petersburg;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);;;;;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;No;CH4, CO2, N20;;;;;;;;1428892.0;1356551.0;184213.0;2693166.0;;;Do not know;Lack of documentation;;266000.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Middelfart Kommune;59180;Denmark;Middelfart;;2018;-;;;;POINT (9.87264 55.471);;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;;;;Administrative boundary of a local government;;;;;;;;;;;;;;;;;;;38093.0;2017.0;;;;;;;2020-05-01T03:57:54.890
Prefeitura de Tupã;60356;Brazil;Tupã;;2018;;;;;POINT (-50.5196 -21.934);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;No;;;;;;;;;;;;;;;;;;;;;;;63476.0;2010.0;;;;;;;2020-05-01T03:57:54.890
Ekurhuleni Metropolitan Municipality;35864;South Africa;Ekurhuleni;;2019;;;;;POINT (28.3462 -26.1777);;;Africa;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;;;;;;;;;;;;;;;;;;;;;;;;3379104.0;2016.0;;;;;;;2020-05-01T03:57:57.217
Municipalidad de Providencia;59167;Chile;Providencia;;2019;;;;;POINT (-70.6092 -33.4313);;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;142079.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Hutt City Council;59987;New Zealand;Hutt City;;2018;2012-07-01 - 2013-06-30;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (174.908 -41.2092);;2012-07-01;Southeast Asia and Oceania;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2013-06-30;364 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;;;;;459629.0;;This is our first year of calculation;;;104700.0;2017.0;;;;;;;2020-05-01T03:57:54.890
Município de Ílhavo;55331;Portugal;Ílhavo;;2018;-;;;;POINT (-7.58 38.85);;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;;;;Administrative boundary of a local government;;;;;;;;;;;;;;;;;;;38598.0;2017.0;;;;;;;2020-05-01T03:57:54.890
City of Oakland;50560;United States of America;Oakland;;2019;2017-01-01 - 2017-12-31;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);The City of Oakland uses SEEC-ClearPath California to help manage its GHG emissions.;;POINT (-122.271 37.8044);;2017-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;188141.0;2678259.0;0.0;0.0;73213.0;4234425.0;;;;;;;Decreased;Technological change;;425195.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City of Lancaster, PA;62864;United States of America;Lancaster, PA;;2018;2016-01-01 - 2016-12-31;;;;POINT (-76.3055 40.0379);;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Administrative boundary of a local government;;;;;;;;;;;;;;;;;;;60000.0;2016.0;;;;;;;2020-05-01T03:57:54.890
City of Cluj-Napoca;74677;Romania;;;2019;;;;;;;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;;;;;;;;;;;;;;;;;;;;;;;;309338.0;2012.0;;;;;;;2020-05-01T03:57:57.217
City of Piedmont, CA;60656;United States of America;Piedmont;;2018;2016-01-01 - 2017-01-01;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-122.232 37.8244);;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-01-01;366 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;31807.0;4203.0;1176.0;37186.0;;;Decreased;Behavioural change;;11378.0;2017.0;;;;;;;2020-05-01T03:57:54.890
City of Boston;35268;United States of America;Boston;;2018;2016-01-01 - 2016-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-71.0598 42.3584);;2016-01-01;North America;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;3890790.0;2394298.0;;6116644.0;;;Decreased;Technological change;;672840.0;2016.0;;;;;;;2020-05-01T03:57:54.890
Municipalité de Rabat;44073;Morocco;Rabat;;2018;;;;;POINT (-6.8498 33.9716);;;Africa;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;;;;;;2020-05-01T03:57:54.890
Cambridge City Council;60104;United Kingdom of Great Britain and Northern Ireland;Cambridge;;2018;;;;;POINT (0.16353 52.2077);;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Not intending to undertake;;;;;;;;;;;;;;;;;;;;;;;124919.0;2017.0;;;;;;;2020-05-01T03:57:54.890
Municipality of Málaga;54491;Spain;Málaga;;2019;2017-01-01 - 2017-12-31;Regional or country specific methodology;Emisiones del Pacto de Alcaldes + emisiones de la industria, el aeropuerto, puerto y otros;;;;2017-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;;;;;;;;;;;;;;;;Increased;Increased energy/electricity consumption;;572000.0;2018.0;;;;;;;2020-05-01T03:57:57.217
City of Detroit;35862;United States of America;Detroit;;2019;2012-01-01 - 2012-12-31;U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI);Also followed USEPA guidance.;;POINT (-83.0457 42.3314);;2012-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2012-12-31;365 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;;;;;;;5520240.0;4809082.0;300451.0;;;;;;;673104.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Prefeitura de Aracaju;52638;Brazil;Aracaju;;2018;2016-01-01 - 2016-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-37.0731 -10.9472);;2016-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;737282.0;300814.0;89532.0;1128628.0;;;This is our first year of calculation;Lack of knowledge overcome;;641523.0;2016.0;;;;;;;2020-05-01T03:57:54.890
Comune di Pescara;36493;Italy;Pescara;;2019;2005-01-01 - 2005-12-31;2006 IPCC Guidelines for National Greenhouse Gas Inventories;The Seap of the municipality of pescara contains all data and is available at the following link: https://www.pattodeisindaci.eu/about-it/la-comunità-del-patto/firmatari/visione-d-insieme.html?scity_id=13826At the same link, also monitoring results /dated 2017) are available;;;;2005-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2005-12-31;364 days;;Same – covers entire city and nothing else;;CO2;;;;;;;;;;;;;;Decreased;;;119252.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Santiago de Cali;36037;Colombia;Santiago de Cali;;2019;2015-01-01 - 2015-12-31;2006 IPCC Guidelines for National Greenhouse Gas Inventories;;;POINT (-76.532 3.45164);;2015-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2015-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, N20;;0.0;4174608.0;0.0;0.0;0.0;0.0;;;;;;;Do not know;Other;;2369829.0;2015.0;;;;;;;2020-05-01T03:57:57.217
City of Gibraltar;50650;Gibraltar;Gibraltar;;2019;2017-01-01 - 2017-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);'Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC)’. Following IPCC 2006 Guidelines for most emission sources.;;POINT (-5.35359 36.1408);;2017-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;Yes;CH4, CO2, HFCs, N20, PFCs;;154317.0;80372.0;;128044.0;;346652.0;;;;;;;Decreased;Other;;34481.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Alcaldia de Pasto;54603;Colombia;Pasto;;2019;2017-06-15 - 2018-06-14;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);Este inventario de Gases de Efecto Invernadero (GEI) fue realizado utilizando el modelo GPC (Global Protocol for Community-Scale Greenhouse Gas Emission Inventories) (Protocolo Globalpara Inventarios de Emisiones de Gases Efecto Invernadero a Escala Comunitaria) (World Resources Institute 2014), el cual se ha convertido desde el 2012 en un estándar para la medición de emisiones GEI a nivel de ciudad, las cuales representan más del 70% de las emisiones del planeta. Hasta la fecha, el GPC se ha implementado más de 100 ciudades importantes a nivel mundial, con el potencial de incluir otras 1000 en el corto plazo.Debido a la gran variabilidad entre los métodos existentes para inventarios GEI en las ciudades, sus resultados son frecuentemente inconsistentes, dificultan la comparación entre ellas y generan dudas sobre la validez de sus conclusiones para la toma de decisiones de mitigación.;;;;2017-06-15;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2018-06-14;364 days;;Same – covers entire city and nothing else;No;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;94515.9;290.0;14500.0;69600.0;;;Stayed the same;No new inventory to report;;455678.0;2015.0;;;;;;;2020-05-01T03:57:57.217
City and County of Honolulu;49339;United States of America;Honolulu;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);While emissions are in carbon emissions are not calculated in terms of Methane and Nitrous Oxide (N2O), the greenhouse gas inventory is in terms of Carbon Dioxide Equivalent (CO2e) and the GPC's methodology in terms of scopes. The City and County of Honolulu's Office of Sustainability and Resiliency utilizes the CURB tool that was developed in partnership between the Work Bank, AECOM, Bloomberg Philanthropies and C40 Cities Climate Leadership Group. Furthermore, contrast to GPC's breakdown, the use of the CURB Tool has broken down the City and County of Honolulu's Greenhouse Gas Inventory differently, encompassing all different sectors of Honolulu's economy. This includes Residential, Commercial and Industrial, Energy Industries, Industrial Processes and Product Use, Agriculture, Forestry and Other Land Use (AFOLU), Water and Wastewater and Solid Waste. The City and County of Honolulu also used the State's 2015 Greenhouse Gas Inventory to scale emissions for the smaller sectors in order for both inventories to communicate with each other.;;POINT (157.59 21.28);;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Larger – covers the whole city and adjoining areas;;CO2;;;;;;;;;;;;;;Decreased;Technological change;;992761.0;2016.0;;;;;;;2020-05-01T03:57:57.217
City of South Miami, FL;74428;United States of America;South Miami;;2019;2019-10-01 - 2020-10-01;Other: FWE-Nexus approach;The city's inventory is being produced by FIU researchers from the CRUNCH team.;;POINT (-80.1918 25.7617);;2019-10-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;In progress;2020-10-01;366 days;;;;;;;;;;;;;;;;;;;;;12500.0;2017.0;;;;;;;2020-05-01T03:57:57.217
City Örebro;54517;Sweden;Örebro;;2019;2017-01-01 - 2017-12-31;Regional or country specific methodology;We have collected data from the regional monitory system (RUS http://projektwebbar.lansstyrelsen.se/rus/Sv/statistik-och-data/nationell-emissionsdatabas/Pages/default.aspx ).;;POINT (15.2066 59.2741);;2017-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities, WWF;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20, PFCs, SF6;;;455709.0;;;;;;;;;;;Decreased;Other: A combination of diffrent factors.;;153367.0;2018.0;;;;;;;2020-05-01T03:57:57.217
City of Portland, OR;14874;United States of America;Portland, OR;;2018;2016-01-01 - 2016-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-122.682 45.52);;2016-01-01;North America;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Administrative boundary of a local government;;GPC gases;;;;;;;;5037132.0;2139561.0;111297.21;;;;Decreased;Technological change;;639863.0;2016.0;;;;;;;2020-05-01T03:57:54.890
Alcaldia de Manizales;54611;Colombia;Manizales;;2019;2014-01-01 - 2014-12-31;2006 IPCC Guidelines for National Greenhouse Gas Inventories;The work included the analysis of climate change projections, the evaluation of anomalies or changes between baseline and projections, the evaluation of the incidence of climate projections on the relevant threats within the framework of the CAPRA risk probabilistic model and some Evidence of  GEI emissions generated in the city of Manizales;;;;2014-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2014-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;;;;;;;This is our first year of calculation;Other;;400136.0;2019.0;;;;;;;2020-05-01T03:57:57.217
Chengdu Municipal Government;54291;China;Chengdu;;2019;;;;;POINT (104.076 30.6719);;;East Asia;C40, CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;16330000.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Boulder County;74414;United States of America;Boulder County;;2019;2016-01-01 - 2016-12-31;Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC);"Boundary: Boulder County has set its boundary to reflect the county limits.Time Period: The 2016 inventory is based on the calendar year of 2016 (January 1st, 2016 through December 31st, 2016).Reporting Methodology and Scope: Boulder County has chosen the  GPC BASIC+ reporting level. The BASIC+ methodology includes BASIC emission sources, as well as a morecomprehensive coverage of emissions sources such as trans-boundary transportation;energy transmission and distribution losses; industrial processes and product use; andagriculture, forestry and other land uses.";;POINT (-105.5 40.15);;2016-01-01;North America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2016-12-31;365 days;;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20;;;;;;;;;;;;;;Decreased;Policy change;;322226.0;2016.0;;;;;;;2020-05-01T03:57:57.217
Glasgow City Council;31055;United Kingdom of Great Britain and Northern Ireland;Glasgow;;2019;-;;;;POINT (-4.21278 55.8593);;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;;;;;;;;;;;;;;;;;;;;;;;598830.0;2017.0;;;;;;;2020-05-01T03:57:57.217
Prefeitura de Porto Velho;60318;Brazil;Porto Velho;;2018;2013-01-01 - 2013-12-31;Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI);;;POINT (-40.3776 -20.3338);;2013-01-01;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;Yes;2013-12-31;364 days;;Other: Limites territoriais do município;;GPC gases;;;;;;;;17164389.21;;;850209.83;17109891.42;;Do not know;Other;;428527.0;2010.0;;;;;;;2020-05-01T03:57:54.890
Gislaveds Kommun;840042;Sweden;GISLAVED;;2019;2017-01-01 - 2017-12-31;Regional or country specific methodology;;;;;2017-01-01;Europe;CDP Cities, ICLEI - Local Governments for Sustainability, WWF;public;Yes;2017-12-31;364 days;;Same – covers entire city and nothing else;;CH4, CO2, HFCs, N20, NF3, PFCs, SF6;;;;;;;;;;;;;;Decreased;Technological change;;29857.0;2018.0;;;;;;;2020-05-01T03:57:57.217
Junta intermunicipal para la gestión integral de la cuenca del Río Coahuayana (JIRCO);826212;Mexico;;;2019;;;;;;;;Latin America;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;285774.0;2010.0;;;;;;;2020-05-01T03:57:57.217
Município de Mafra;832078;Portugal;Mafra;;2019;;;;;POINT (-9.32771 38.9385);;;Europe;CDP Cities, ICLEI - Local Governments for Sustainability;public;;;;;;;;;;;;;;;;;;;;;;;;81961.0;2015.0;;;;;;;2020-05-01T03:57:57.217
