City Name,Account No,Country,City Short Name,C40,Reporting Year,Primary Methodology,Methodology Details,Accounting Year,Total City-wide Emissions (metric tonnes CO2e),Reason for Increase/Decrease in Emissions,Further Information,City Location,Country Location
Seoul Metropolitan Government,31187,South Korea,Seoul,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"1) Additional Protocols: 
- Guidelines For Local Government Greenhouse Gas Inventories.,  Korea Environment Corporation, 2010
- ISO 14064-1 (Specification with guidance at the organizational level for quantification and reporting of greenhouse gas emissions and removals)

2) Calculation: 
Considering 2006 IPCC G/L as standard methodology, Seoul has applied domestic activity and basic Emission Factors of the guideline for calculation as well as basic city data (energy consumption, waste, etc.). Emissions of 6 major greenhouse gases (CO2, CH4, N2O, HFCs, PFCs, SF6) stated in the Kyoto Protocol were calculated and Seoul applied Global Warming Potentials (GWPs) from the second Assessment Report from the IPCC. 

3) Classification of emission source: 
In large, the classification is based on the 2006 IPCC G/L classification system but the categories were integrated or specified according to the characteristics of the city of Seoul. Based on the range of Seoul's authority, emission sources were classified into Scope 1 (Direct emission) and Scope 2 (Indirect emission), in accordance with the local GHG calculation guidelines.  

4) Measurement: 
Activities are collected from the official statistics of the national government and are used as activity for calculation of greenhouse gas emissions by sector. Official statistics provided by the national government are released every year and include oil statistics, electricity statistics, and chronology regional energy statistics. Emission calculations such as Emission Factor, are mainly based on the IPCC Guideline.
(Example: Emissions from energy sector = Fuel consumption (TJ) × Fuel emission factor (kgGHG/TJ)",2010-01-01 - 2010-12-31,49750736,"Emissions from energy consumption increased from the previous year. In particular, emissions caused by power consumption in residential and commercial buildings increased.",,"(37.566535, 126.9779692)","(35.907757, 127.766922)"
Tokyo Metropolitan Government,31111,Japan,Tokyo,C40,2013,Other: The Guidline set by Japanese Ministry of Environment,"Basically we follow a guideline set by the Ministry of Environment, which is called the ""Guideline for local governments about establishing local climate change action plans"". However, if there are new international or domestic methods which are more applicable, we use those methods too.

-Targets of calculations are CO2, CH4, N2O, HFC, PFC and SF6.
-We calculate CO2 equivalent amount of emission for each gas by multiplying the amount of each emission by its global warming potential.
-Emissions are calculated by economic sectors: Residential, Commercial, Industrial and Transportation.
-Indirect CO2 emissions from consumption of purchased electricity are also included.
-Concerning emissions from trains, ships, and airplanes, we calculate them within the geographic boundary of TMG conforming to the international rule.",2010-04-01 - 2011-03-31,61640000,,,"(35.6894875, 139.6917064)","(36.204824, 138.252924)"
City of Yokohama,31113,Japan,Yokohama,C40,2013,"Other: Action Plan of the City of Yokohama for Climate Change Measures(Measures for Local Areas)( 2011) formulated based on Article 20-3 of the Act on Promotion of Global Warming Countermeasures, we calculate the emission of GHG by the city offices and businesses. Calculated based on the Formulation Manual of Global Warming Countermeasure Action Plan for Local Government Organizations (Local Policy), First Edition.","Carbon dioxide (CO2)
Methane (CH4)
Dinitrogen monoxide (N2O)
Hydrofluorocarbon (HFC)
Perfluorocarbon (PFC)
Sulfur hexafluoride (SF6)
 *Calculation method is only for CO2
-CO2: Emission from burning fuel (electricity included) and emission from burning waste
[Emission from burning fuel]
Fuel:Calculated by multiplying CO2 emission factor to the annual usage amount of heavy oil, city gas, etc. of economy sections, energy conversion, industrial, businesses, households, and transportation, based on the statistical data of each fuel and.
Electricity: By Indirect emission method. Calculated by multiplying CO2 emission factor (disclosed by the power company) to the annual usage of electricity by each section.
[Emission from burning wastes]
CO2 emission factor is multiplied to the amount of wastes that are incinerated annually. Based on the international rule, CO2 emission from waste originating from biomass are excluded.
-CH4: Emission from burning waste, agriculture, wastes, conversion of greenery
-N2O: Emission from burning waste, industrial process, organic solvent and use of other products, agriculture, and wastes
-HFC, PFC, SF6: Emission from manufacturing, usage, and disposal stages",2009-04-01 - 2010-03-31,19051000,Basic data required for the calculation are collected from statistical information of the national government and corporations. These figures are used to calculate the amount of GHG emission and disclosed on the city’s website,,"(35.4437078, 139.6380256)","(36.204824, 138.252924)"
City of Los Angeles,10894,USA,Los Angeles,C40,2013,Other: used emission factors from the Climate Registry's local government protocol.,Actual usage data for electricity and natural gas were obtained directly from the department or agency responsible for its production.  The transportation data was obtained from the Southern California Association of Governments.  Electricity and natural gas were multiplied by there respective emission factor obtained from the Local Government Protocol (The Climate Registry).,2010-01-01 - 2010-12-31,33935814,"Emissions have decreased overall.  There are many factors for this decrease beginning with the Mayor's push for making the City of Los Angeles the greenest City.  The Mayor's push for Measure R has provided funding for transportation projects throughout the City and County of Los Angeles.  The City's Department of Water and Power has provided additional funding for rebates for energy efficient appliances and energy efficient upgrades to homes such as dual pane windows, solar panels and so forth.  More importantly, the department with the Mayor's help has increased it's renewable energy portfolio to 20% helping to reduce the emissions related to electricity.  The Mayor has also promoted cycling events to help people get excited about cycling and excercise.  
Another aspect to this decrease is the economy.  There is some question as the impact the down economy has played with the reduction of emissions.  Certainly people have driven less at times as there is less money in the wallets and gasoline prices rise.  People may have changed their television viewing habits and washed their clothes smarter by combining loads to help reduce electricity usage in the home.  Some manufacturers eliminated some shifts or shortened shifts.",,"(34.0522342, -118.2436849)","(37.09024, -95.712891)"
City of Atlanta,1093,USA,Atlanta,,2013,Other: Georgia Institute of Technology,"Source -CO2 Emissions Factor
Electricity - 0.65 kg/kWh 
Natural Gas - 5.22 kg/therm
Transportation Fuel - 8.85 kg/gallon 
Jet Fuel - 9.57 kg/gallon",2010-01-01 - 2010-12-31,9650000,,,"(33.7489954, -84.3879824)","(37.09024, -95.712891)"
City of San Diego,35884,USA,San Diego,,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,IPCC,2009-01-01 - 2009-12-31,12624227,"Emissions did not change much from 2008 (12.83 MMT) to 2009 (12.62 MMT).  Residential, commercial, & industrial electricity use were all down slightly; residential & commercial natural gas use were down slightly; gasoline use & vehicle miles traveled increased slightly.",,"(32.715738, -117.1610838)","(37.09024, -95.712891)"
Comune di Napoli,36158,Italy,Comune di Napoli,,2013,,,2005-01-01 - 2005-12-31,2913435,,,"(26.1420358, -81.7948103)","(41.87194, 12.56738)"
City of Miami,35870,USA,Miami,,2013,Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0 (C40 and ICLEI),"For community data, City specific data was used where available, such as utility provided records. If City specific data was not available, relevant values were extrapolated by population ratios from County or State data.",2006-01-01 - 2006-12-31,4762364.27,,,"(25.7890972, -80.2040435)","(37.09024, -95.712891)"
Mexico City,31172,Mexico,Mexico City,C40,2013,"Other: Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) pilot Version 1.0 (C40 and ICLEI), IPCC Guidelines for National Greenhouse Gas Inventories published in 2006 and IPCC Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories, published in 2000.","The quality assurance/quality control (QA/QC) activities include calculation review, information management, inventory verification procedures and uncertainty quantification. This has  the propose to remove the inventory inherent bias.",2010-01-01 - 2010-12-31,26232831,Current inventory is the first experience where  the emissions of the community are separated. Hence there are no emissions trends.,"The file ""GEI_DFCarbon10.pdf"" is the GHG emission inventory.","(23.634501, -102.552784)","(23.634501, -102.552784)"
Kaohsiung City Government,31112,Taiwan,Kaohsiung,,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The methodology we used is mainly based on "" Guidelines for City Level Greenhouse Gas Inventories"", which was published by Environmental Protection Administration, Executive Yuan, R.O.C. in July 2011, and ""2006 IPCC Guidelines for National Greenhouse Gas Inventories"". In addition, if there is emission coefficient research for specific local GHG emission estimation, we will apply local emission coefficient for calculation.
Whole emission sources are separated into 7 sectors including energy sector, transportation sector, residential/commercial sector, industrial sector, waste sector, agriculture sector, and forestry sector. We collected data of energy and fuel consumption from each sector's competent authorities, and calculated city GHG emission with recommended emission coefficients.",2011-01-01 - 2011-12-31,63640300,"Compared to 2010, greenhouse gas emission in 2011 is about equal. However, if we look back on emission data of last few years, the amount of GHG emission in Kaohsiung is slightly on a down trend . The main source of GHG emission in Kaohsiung is industry sector accounting for over 80% of total amount, which makes carbon reduction works even tougher in the city. However, implementing and cooperating with the regulations of GHG control rules published by central administrative authority, Kaohsiung believes that positive results will gradually reveal soon.",,"(22.6238898, 120.3230776)","(23.69781, 120.960515)"
Santiago de Cali,36037,Colombia,Cali,,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Data Collection: Request for information and collection of direct reference source.
Processing: To determine the CO2 equivalent, first quantified emissions of methane (CH4) and nitrous oxide (N2O) generated by the various activities for which emission factors used in the IPCC methodology and EPA
After having the different emissions from CH4 and N2O gases multiplied by the global warming potential (see Table), for this we used the following equation:

CO2eq=EGEI*GWP

where:
CO2eq: Emission of carbon dioxide equivalent in tons / year
EGEI: greenhouse gas emission in Ton / year
GWP: Global Warming Potential

Pollutant:                  GLOBAL WARMING POTENTIAL (GWP)
CO2                                      1
CH4                                    21
N2O                                  310",2011-01-01 - 2011-12-31,4664730.56,There is not a baseline of comparison. Therefore is not possible to answer this question.,"Attach Final Report air emissions inventory, which includes the estimation of CO2eq.","(3.420556, -76.522222)","(4.570868, -74.297333)"
Singapore Government,35993,Singapore,Singapore,C40,2013,Other: Revised 1996 IPCC Guidelines,"Singapore’s GHG inventory is computed using the IPCC sectoral approach. This approach sums up GHG emissions from the different sectors of the economy - power generation, industry, buildings, transport, households. 

As a city-state, there is no distinction between local government and municipal emissions inventory. Our national inventory is reported to the UNFCCC in line with the IPCC guidelines, which entails Scope 1 emissions.",2011-01-01 - 2011-12-31,4510000,,,"(1.352083, 103.819836)","(1.352083, 103.819836)"
Prefeitura do Rio de Janeiro,31176,Brazil,Rio de Janeiro,C40,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The methodology was developed by the Climate / COPPE / UFRJ, from the 2006 IPCC Guidelines for National Greenhouse Gas, with the adjustments already made in the Inventory of Anthropogenic Emissions and Removals of Greenhouse Gas Emissons not Controlled by Montreal Protocol - Initial Communication of Brazil (MCT, 2004), and upgraded to the standard division in scopes as in GHG Protocol.

The main methodological issue considered is the delimitation of the inventory scope, by restricting those sources whose emissions result only from socio-economic activities in the responsibility of the Municipality of Rio de Janeiro, considering that these are activities that may suffer interference municipal government. The inventory, so called Emissions Inventory Greenhouse Gas of Rio de Janeiro City and not, ""in Rio de Janeiro City,"" does not incorporate the emissions occurring in the geographical boundaries of the municipality, but those occurring under their responsibility. 

By the end of 2011, the GHG emissions inventory from the city of Rio de Janeiro report was adapted to enable its presentation/comparison according to the emerging global protocol for community-scale greenhouse gas inventories, which Global Basic Standard for Community GHG Inventories disaggregates the emissions in three different scopes:
Scope 1 includes all direct emissions of GHG within the geographical boundaries of the city.
Scope 2 includes indirect GHG emissions associated with the consumption of purchased electricity. These emissions are caused by the share of electricity consumption in the city of Rio de Janeiro that is generated outside the city.
Scope 3 includes some indirect GHG emissions not accounted in Scopes 1 and 2.
It is worth to mention that the standard used to develop this inventory reflects global best practice, with input from academia, WRI, and World Bank, and is believed to be consistent with emerging international standards such as those being discussed by ICLEI-C40 (of which Rio de Janeiro is a member of both).

The reductions of GHG emissions presented at the point 4.4 of this questionnaire are related to the more conservative scenario established by the Inventory (Scenario B), considering the year of 2020 (limit of the period of reduction targets established by Law n. 5248/2011).",2005-01-01 - 2005-12-31,11351700,,,"(-22.9082998, -43.1970773)","(-14.235004, -51.92528)"
City of Durban,35863,South Africa,Durban,,2013,Other: International Local Government GHG Emissions Analysis Protocol Version 1.0; and Local Government Operations Protocol for the Quantification and Reporting of Greenhouse Gas Emissions Inventories Version 1.1,The protocols used were designed to provide standardized set of guidelines to assist local governments in quantifying and reporting GHG emissions associated with their government and community operations. Both protocols are based upon the Corporate GHG Protocol developed by the World Resources Institute (WRI) and the World Business Council for Sustainable Development (WBCSD) as well as technical guidance provided by the United Nations Intergovernmental Panel on Climate Change (IPCC).,2011-01-01 - 2011-12-31,21496010,"For the 2011 GHGEI, there has been an improvement on the data collection and analysis.",,"(-29.8586804, 31.0218404)","(-30.559482, 22.937506)"
City of Sydney,31114,Australia,Sydney,C40,2013,International Emissions Analysis Protocol (ICLEI),"Consultancy commissioned to prepare emissions inventory based on utility network data, transport and waste analysis",2005-07-01 - 2006-06-30,5457064,Emissions were measured last in 2005/06.,,"(-33.8674869, 151.2069902)","(-25.274398, 133.775136)"
City of Cape Town,35858,South Africa,Cape Town,,2013,International Emissions Analysis Protocol (ICLEI),"A baseline data collection was collected from the following 5 sectors:

Residential Sector: dissageragated according to electrified and non-electrified by income category

Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities

Industrial Sector: dissageragated into into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities

Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet

Transport Sector: dissageragated into freight, private vehicle and public transport (bus,minibus taxi and train)

LEAP modelling and IPCC conversion factors were used to calculate CO2e values.",2006-07-01 - 2007-06-30,20550175,"Cape Town is a developing city with a population growth of 3% per annum. It is therfore expected that overall emissions will continue to increase as both the population and economy grow . The City therefore targets to decrease its emissions off a 'business-as-usual' baseline. In other words, the City aims to decrease the amount of emmisions relative to the rate of GDP and population growth.","The majority of data for Cape Town's CDP submission has been taken from the City's ""State of Energy and Energy Futures Report"" which is updated approximately every three to five years.  On the whole the City does not have the resources to collect data more regularly, but instead focusses on obtaining and analysing particular data sets that will assist in policy and project development.
 
An infograph of Cape Town's Energy and Global Emmisions Profile is attached.","(-33.9248685, 18.4240553)","(-30.559482, 22.937506)"
City of Buenos Aires,31155,Argentina,Buenos Aires,C40,2013,Other: Proprietary methodology,"Even though the City used a proprietary methodology, with the assistance of private consultants, the International Local Government GHG Emissions Analysis Protocol (ICLEI) was frequently consulted. 

It was elaborated by the Buenos Aires EPA, using the Ghree platform, provided by EMS software, which was developed by an external Consultancy Firm together with a National University.

The methodology for its preparation was divided into different stages:
-Obtaining selected information.
-The processing of the received data 
-Loading of data into software
-The conclusions drawn from this process.

In order to obtain the correct information, the EPA identified the different sectors to be included in the inventory and selected the accurate data to calculate GHG emissions. When identified the bodies responsible for providing the necessary information, the data was requested. 

Organizing information
The information was given in a hierarchical order that was organized as follows:
-Field (I.e. Community)
-Sector (I.e. energy consumption)
-Category (I.e. Power consumption)
-Sub category (I.e. Power consumption for residential)


To represent the GHG emissions produced within the Community sector the following categories were elected:

1. Energy consumption
2. Transport
3. Waste (Scope 3)
4. Water treatment (Scope 3)

1. Energy consumption
This category includes electricity, natural gas and diesel consumption. It is divided in 3 sub-categories: residential, commercial and industrial.

2. Transport
This category includes different means of transport, both private and public, which were considered representative at the time of accounting GHG emissions.

Private transport:
-Private cars (including vans), taking into consideration the kind of fuel used: gasoline, diesel or natural gas.
-Duty traces (light and heavy), taking into consideration the kind of fuel used: gasoline, diesel or natural gas.

Public transport:
-Buses, with diesel engines
-Taxis, including diesel and natural gas
-Subway, operating through electric power
-Trains, including those running with electric power as well as those using diesel engines.

3. Waste (Scope 3)
This category includes the amount of Municipal Solid Waste generated (taking into consideration residential and urban solid waste) in Buenos Aires during the reporting year, as well as its composition.
-food waste
-Pruning and garden waste
-Wood
-Textile
-Paper and cardboard
-Glass, plastic, metal and others.

4. Water treatment (Scope 3)
This category includes de energy consumed (KWh) for treating and providing drinkable water to the City. 

The data was processed using the software EMS, which calculates GHG emissions, converted to carbon dioxide equivalent using information on energy consumption (fuel, natural gas, electricity) for activities, emission factor, calorific power and density of energy used.

For the community inventory, the methodology used in the Energy Sector was the one used for the Government operation inventory. That is, stating the KWh/year consumed by the 3 sub categories, and multiplying by the emission factor of the grid. As for gas consumption, m3 of gas consumed, calorific power of natural gas, density of the gas and its emissions factor (IPCC 2006 default) were considered in the equation. 

For the private transport sector and buses, GHG emissions were calculated using the EMS software, which required, for each sub categories within the sector, the amount of circulating cars by type of fuel consumed and the amount and type of fuel sold in the city. Fuel consumed by industries and government’s fleet was subtracted to the amount of fuel sold leaving amount of fuel consumed by vehicles.

For the other public transport sector, trains and subways, GHG emissions were calculated from electricity and diesel consumed when travelling within the City. Kilometers travelled and energy consumption data was obtained from the National Regulatory Commission of transport, and Metrovías (Subway grant company). 

For the Waste sector, the methodology used was one developed by the Intergovernmental Panel of Climate Change (IPCC), “Tool to determine methane emissions avoided from disposal of waste at a solid waste of disposal site”. In order to apply this methodology, it was necessary to obtain both the amount of Municipal Solid Waste (MSW) generated in the City of Buenos Aires in each of the years considered in the inventory, as well as their composition. 

For the Water treatment sector, the energy consumed is calculated multiplying the amount of water supplied (m3) and the energy consumed per m3 of treated and distributed water.",2010-01-01 - 2010-12-31,9813932.71,"During the year 2009 the city developed the Climate Change Action Plan, together with the update of the GHG Inventory, during the period 2000-2008. The update was performed by Buenos Aires EPA, using for the general structure and for the transport sector in particular, the software Project 2 Degrees from the Clinton Foundation developed by Microsoft, Ascentium, ICLEI and CNT.

In December 2010, the City signed an agreement with a National University and a Consultancy firm, in order to update the Inventory. After a long process in order to collect, analyze and process the data, the City recalculated it´s GHG emissions for the period 2000-2010, using an improved methodology using ICLEI Local Government Protocol. 

According to last year questionnaire, we do not have updated values to report. As we have been working in methodology adjustments, you can see small differences in the Inventory results, but we are still reporting 2000-2010 emissions.

Regarding total GHG emissions evolution, we can see an increase of 8.8% for the whole period between 2000 and 2010. (See attached figure in Further Information section). 

However, in order to analyze annual changes there are several factors to take into consideration when analyzing GHG emissions in a city, such as demographic growth, commuters, temperature variations and economic fluctuation, among others. For example, the deep economic crisis that hit the country in 2001, causing a contraction in energy consumption (at a residential, commercial and industrial level), explain in part the observed decline in emissions between year 2000 and 2002, of around 4.9%. On the contrary, between 2005 and 2007 there have been a sharp increase in GHG emissions (around 8.3%), due among other reasons, to an increase in energy consumption because of high maximum temperatures during the summer and low minimum temperatures during the winter.

That is why, even though we do not have updated values to report, the city have done a thorough analysis in order to identify key sectors which might have an important effect on GHG emissions. (See attached figure in Further Information regarding emissions breakdown)","The Green House Gases emissions attached in this section show the City´s total emissions, including Scope 3, as the City is working to reduce waste generation and water consumption.","(-34.6037232, -58.3815931)","(-38.416097, -63.616672)"
Intendencia de Montevideo,42388,Uruguay,Montevideo,,2013,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Same than government GHG emissions data.,2006-01-01 - 2006-01-31,4242000,,,"(-34.9011127, -56.1645314)","(-32.522779, -55.765835)"
City of Melbourne,31109,Australia,Melbourne,C40,2013,Other: As outlined below,"City of Melbourne includes the following emissions sources:
* Stationary energy used within municipal boundary (electricity & gas)- Scope 1 & 2
* Transport to and from municipality (road, rail and tram)- Scope 1 & 2
* Freight to and from the municipality (road)- Scope 1 & 2
* Waste generated within the municpal boundary (commerical, residential and street waste)- Scope 3
* Water (emissions assocatied with the treatment and pumping of water used within the municpal boundary)- Scope 3 

Australian National Greenhouse Accouning Factors have been used.  City of Melbourne is transitioning to the Global Protocol for Community-Scale Greenhouse Gas Emissions (GPC) Pilot Version 1.0.",2009-07-01 - 2010-06-30,4155010,,,"(-37.814107, 144.96328)","(-25.274398, 133.775136)"
