City Name,Account No,Country,City Short Name,C40,Reporting Year,Measurement Year,Primary Methodology,Methodology Details,Total City-wide Emissions (metric tonnes CO2e),Increase/Decrease from last year,Reason for Increase/Decrease in emissions,City Location,Country Location
Seoul Metropolitan Government,31187,South Korea,Seoul,C40,2015,12/31/2013 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"1) Additional Protocols: 
- Guidelines For Local Government Greenhouse Gas Inventories.,  Korea Environment Corporation, 2010
- ISO 14064-1 (Specification with guidance at the organizational level for quantification and reporting of greenhouse gas emissions and removals)

2) Calculation: 
Considering 2006 IPCC G/L as standard methodology, Seoul has applied domestic activity and basic Emission Factors of the guideline for calculation as well as basic city data (energy consumption, waste, etc.). Emissions of 6 major greenhouse gases (CO2, CH4, N2O, HFCs, PFCs, SF6) stated in the Kyoto Protocol were calculated and Seoul applied Global Warming Potentials (GWPs) from the second Assessment Report from the IPCC. 

3) Classification of emission source: 
In large, the classification is based on the 2006 IPCC G/L classification system but the categories were integrated or specified according to the characteristics of the city of Seoul. Based on the range of Seoul's authority, emission sources were classified into Scope 1 (Direct emission) and Scope 2 (Indirect emission), in accordance with the local GHG calculation guidelines.  

4) Measurement: 
Activities are collected from the official statistics of the national government and are used as activity for calculation of greenhouse gas emissions by sector. Official statistics provided by the national government are released every year and include oil statistics, electricity statistics, and chronology regional energy statistics. Emission calculations such as Emission Factor, are mainly based on the IPCC Guideline.
(Example: Emissions from energy sector = Fuel consumption (TJ) × Fuel emission factor (kgGHG/TJ)",48550952,Decreased,"GHG emission quantity in energy field was reduced by 1,440tCO2eq year on year, especially contributed by the reduction in indirect emission in electricity.","(37.566535, 126.9779692)","(35.907757, 127.766922)"
City of Winnipeg,50579,Canada,Winnipeg,,2015,12/31/1998 12:00:00 AM,Other: Partners for Climate Protection,"This was applied in compliance with the national Partners for Climate Protection program,",5257325,Decreased,"Some waste fell outside of measurement scope.
Decrease in natural gas consumption (reason unknown).","(49.8997541, -97.1374937)","(56.130366, -106.346771)"
City of Houston,31108,USA,Houston,C40,2015,12/31/2014 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,33428301,This is our first year of calculation,This is our first year conducting a community-wide GHG inventory using the ICLEI Community Protocol.,"(29.7601927, -95.3693896)","(37.09024, -95.712891)"
City of Toronto,31117,Canada,Toronto,C40,2015,12/31/2012 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)","Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste.

a. Energy Heating and Cooling:
The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc...

b. Transportation: 
Data are collected and standardized only for car and truck traffic through the City using four main sources: 
-truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division
-accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division
--a Canadian standard developed by a Canadian consultant

The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and emissions factors for vehicle types are applied to calculate total emissions from mobile sources.

c. Waste: 
Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.",20313061,Decreased,"a.  Eliminating the use of coal in the electricity mix which facilitated substantive per capita reductions in energy consumption
b.  Significantly reducing the amount of waste going to landfill, and therefore, the amount of methane gas generated

Our transportation emissions have remained the same because we have not been able to update this data for the year 2012 and so we used the same data from 2011 for our inventory.","(43.653226, -79.3831843)","(56.130366, -106.346771)"
Ville de Montreal,35894,Canada,Montreal,,2015,12/31/2009 12:00:00 AM,Other:,"2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)",13722942,Other: No change,We have not produced a new inventory.,"(45.5086699, -73.5539925)","(56.130366, -106.346771)"
Bornova Municipality,44132,Turkey,Bornova,,2015,12/31/2011 12:00:00 AM,,,758627,Other: This is our first year of estimation,,"(35.2141598, 33.2947541)","(38.963745, 35.243322)"
City of Porto,46514,Portugal,Porto,,2015,12/31/2004 12:00:00 AM,Other: Metodology developed for the specific purpose and context,The GHG emissions inventory was developed through the energy supply and demand data by the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt) and the National Statistics Institute (www.ine.pt). The Transports sector was estimated through a separate and specific mobility needs model.,1300000,Decreased,"Porto Energy Agency has already calculated GHG emissions for 2004 , 2009 and 2012 (this last one with non definite or mature data). The 2004 GHG emissions were the basis for the Sustainable Action Plan development. As this is the first report, 2004 GHG emissions and related SEAP policies were submitted. The 2009 and 2012 GHG emissions balance point to a decrease in the emissions (by 22% and 24% respectively) - which indicates that Porto is half way of his ambitious target to 2020 – and these results are mainly  because of the decrease in the demand of fossil fuels (in mobility due to the Metro expansion) and “greener” national grid electricity.","(41.1579438, -8.6291053)","(39.399872, -8.224454)"
City of Baltimore,35853,USA,Baltimore,,2015,12/31/2010 12:00:00 AM,Other: Greenhouse Gas Emissions (ICLEI),"ICLEI’s methodology provides a systematic framework for local governments to track energy- and waste-related activities in the community, and to calculate the amounts of greenhouse gases produced by each activity and sector. The inventory methodology involves two sections: a community-wide assessment and a separate inventory of government operations.

Once completed, these inventories provide the basis for an emission forecast, and allow for the quantification of emission reductions associated with proposed measures.

Baltimore City’s Greenhouse Gas Emissions Inventory consists of two essentially distinct inventories: one for the Baltimore City community as a whole, defined by geographic borders, and one highlighting emissions resulting from the City of Baltimore’s Government operations and buildings owned. The Government Inventory is a subset of the Community Inventory (emissions from the municipal operations are embedded in the community inventory). Distinguishing the City Governmental emissions in this way allows the City, which formally committed to reducing emissions, to lead by example in tracking its own facilities and vehicles while evaluating the effectiveness of its emission reduction efforts.

Compiling Baltimore City’s emissions inventory required the collection of information from a variety of sources. The data represents 2010 energy usage, except where notes indicate data gaps that necessitated use of older records.

For our scope, all emissions associated with energy consumed in Baltimore City are included, regardless of the location of the original energy source. This means that, even though the electricity used by Baltimore residents is produced in a plant outside of Baltimore City’s geographical borders, this energy and the emissions associated with it appear in Baltimore City’s inventory. The decision to capture emissions in this way reflects the general philosophy that a community should take full responsibility for the impacts associated with its energy consumption, regardless of where the energy generation occurs.",7579144,,,"(39.2903848, -76.6121893)","(37.09024, -95.712891)"
City of Warsaw,31185,Poland,Warsaw,C40,2015,12/31/2012 12:00:00 AM,Other:,Covenant of Mayors,12706696,Decreased,SEAP,"(52.2296756, 21.0122287)","(51.919438, 19.145136)"
Comune di Bologna,36274,Italy,Bologna,,2015,04/01/2009 12:00:00 AM,,Sustainable Energy Action Plan Guide Line,2270524.7,Decreased,"Main cause is the economic crisis, secondary are actued mitigation actions","(44.4856087, 11.3547975)","(41.87194, 12.56738)"
Comune di Torino,35886,Italy,Turin,,2015,12/31/2005 12:00:00 AM,"Other: The city of Turin used, for its emission inventory, the methodology suggested by JRC (""How to develope a sustainable energy action plan"") for the Covenant of Mayors initiative.","The methodology consists in the collection of data about yearly energy consumption (MWh/year) from different sources (electricity, natural gas, diesel, liquid gas, biomass, pv, solar thermal, wind…). Following methodology of covenant of mayors , by considering different emission coefficients (Ton CO2/MWh) for all different suorces – is possible to obtain the total CO2 emission (Ton/year).",5065364,Increased,"Our inventory was not updated since last year.
It is currently being updated inventory.","(45.1006374, 7.6680046)","(41.87194, 12.56738)"
City of Sydney,31114,Australia,Sydney,C40,2015,06/30/2013 12:00:00 AM,Other: CCAP City reporting tool by Kinesis,"Consultancy commissioned to prepare emissions inventory based on utility network data, transport and waste analysis",5052256,Decreased,"Emissions have decreased due to cleaning of the grid, increased network costs leading to greater awareness and behaviour change (indicating there is some price elasticity in electricity consumption), improved energy efficiency, uptake of solar PV and weather influences.","(-33.8674869, 151.2069902)","(-25.274398, 133.775136)"
City of San Francisco,31182,USA,San Francisco,C40,2015,12/31/2012 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,4574578,Decreased,"There were decreases in emissions overall from inventory CY2010 to CY2012.  All sectors such as Residential, Commercial/Industrial, Transportation (private, commercial, public/mass transit), Waste as well as Municipal emissions decreased due to the City of San Francisco's progressive climate policies and commitment to implementing effective emission reduction strategies.","(37.7749295, -122.4194155)","(37.09024, -95.712891)"
Gemeente Rotterdam,31179,Netherlands,Rotterdam,C40,2015,12/31/2014 12:00:00 AM,Other: We compute scope 1 emissions for city and port and also scope 2 for the built environment,"For the city of Rotterdam, the GHG protocol is used and the governmental boundaries apply, hence including the port, to compute all scope 1 emissions. Since the industry in the port encloses several energy production plants and thus the scope 2 emissions from the industry are not computed. 
We only monitor the scope 2 emissions for the built environment. This number is filled in in C1.5 but is not used for the monitoring of the RCI target.  
An inventory was made on the emissions in 2009 and 2011 of the other green house gasses, but these numbers have a limited accuracy. These numbers are not included in C1.5. 
The most recent data that are now (April, 2015) available refer to the situation in 2013.",28202000,Stayed the same,The total amount of CO2-emission in Rotterdam in 2013 is comparable (21 kton lower) with the 2012-emissions. But differences between sector occur. The effect of the RCI-apporach increases and is estimated at 200 kton reduction.,"(51.9163716, 4.4509382)","(52.132633, 5.291266)"
Government of Hong Kong Special Administrative Region,31169,Hong Kong,Hong Kong,C40,2015,12/31/2011 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,42700000,Increased,"Hong Kong's GHG emission recorded a small increase of 4.7% from 40.8 million tones CO2e in 2010 to 42.7 million tonnes CO2e in 2011, mainly due to (i) the increase in electricity generation to cope with GDP and population growth;
(ii) more use of coal for electricity generation to make up the shortfall in natural gas supply.","(22.2880809, 114.1398015)","(22.396428, 114.109497)"
City of Chicago,3203,USA,Chicago,C40,2015,12/31/2010 12:00:00 AM,Other:,"Chicago conducts regional GHG emissions inventories in-keeping with rigorous protocol and standards. New GHG methodologies and standards that were not available for previous analyses will be evaluated and adopted for future GHG emissions inventories, as-appropriate. 

The following GHG protocols were used in the 2010 Regional GHG Inventory:

The LGOP for Greenhouse Gas Assessments developed by ICLEI, CAR, TCR and CARB (California Air Resources Board 2010a): This protocol includes methods for estimating emissions resulting from government buildings and facilities, government fleet vehicles, wastewater treatment and potable water treatment facilities, landfill and composting facilities, and other operations. This protocol was developed primarily for use by California local governments; although it contains methodologies for estimating emissions pertinent to community emissions sources. Further, this protocol can be modified for use outside of California, although in some cases, data sources or other references may need to be modified accordingly to local conditions or constraints.

The USEPA Inventory of U.S. Greenhouse Gas Emissions and Sinks: 1990–2007 (U.S. Environmental Protection Agency 2009a): The national inventory documentation includes standard methodology and emission factors for nationwide GHG emissions inventorying. 

The IPCC Guidelines for National Greenhouse Gas Inventories (Intergovernmental Panel on Climate Change 2006a): This document is the international standard for inventories and provides much of the baseline methodology used in the national and statewide emission inventories. 

The GHG Protocol Corporate Standard developed by WRI and the WBCSD (World Resources Institute 2004): Although this is a protocol designed for use primarily by private corporations, it was one of the first documents to establish the principles and steps to developing a GHG inventory. This document has influenced the development of other types of GHG protocols, including those for municipal, government, and community-wide emissions.",33500000,,"The City of Chicago's next planned comprehensive Citywide GHG Emissions Inventory is planned for 2016, based on 2015 emissions.","(41.8781136, -87.6297982)","(37.09024, -95.712891)"
City of Boston,35268,USA,Boston,C40,2015,12/31/2013 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then converted to GHGs based on two factors: average fuel economy in Massachusetts; and gallons of fuel sold in Massachusetts. This calculation assumes that the amount of fuel in vehicles crossing into Massachusetts is roughly equivalent to the amount in vehicles driving out of the state.  Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.",6135026,Increased,"In 2013, the community’s GHG emissions rose 3.5 percent (200 thousand metric tons) from the previous year. A major cause of the increase was the weather: 2012 was a warm year with 4,754 heating-degree days (HDD); 2013 had 5,521. This had two consequences. First, Bostonians consumed more heating fuels. Second, increased demand for natural gas caused the price to increase and reduced availability. This led some power plants producing electricity and steam to reverse a trend of the past several years and increase their use of oil and coal, both of which produce more GHGs per unit of energy than natural gas. This change is reflected in the higher emissions factors for steam and electricity.","(42.3584308, -71.0597732)","(37.09024, -95.712891)"
City of Lisbon,36159,Portugal,Lisbon,,2015,12/31/2012 12:00:00 AM,,"The data for the final energy use in the city of Lisbon was obtained from the Portuguese Directorate-General for Energy and Geology (www.dgeg.pt).
To estimate the emissions from fuel use (scope 1), the emission factors from the 2006 IPCC Guidelines for National Greenhouse Gas Inventories were used.
To estimate the emissions from electricity use (scope 2), the emission factor of the Portuguese electric system was obtained from the Portuguese Environmental Agency (www.apambiente.pt). The latest value was used, which refers to 2009 conditions.",2969996,Decreased,"Although the emissions from buildings increased, the emissions from transport decreased enough to offset that effect, leading to a 1.8% decrease in overall emissions.
Regarding scope 1 and 2 emissions, the increase in electricity use led to a scope 2 emissions increase, which was offset by the scope 1 emissions reduction due do the decrease in the use of transport fuels.","(38.7222524, -9.1393366)","(39.399872, -8.224454)"
City of Johannesburg,31115,South Africa,Johannesburg,C40,2015,03/11/2015 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,26226549,This is our first year of calculation,An updated inventory will be reported in the next questionnaire.,"(-26.2041028, 28.0473051)","(-30.559482, 22.937506)"
City of Lexington,50548,USA,Lexington,,2015,01/01/2014 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),ICLEI CACP protocols.,6450693,Decreased,Total CO2e decreased despite an especially cold winter during 2013 and an approximate 4 percent increase in population.,"(38.0405837, -84.5037164)","(37.09024, -95.712891)"
City of Goiânia,42123,Brazil,Goiânia,,2015,12/31/2010 12:00:00 AM,,"The Protocol for Global Community - Scale GHG Emissions (GPC 2012) was used as standard for the categorization and allocation of emissions and aggregation of results.
The GPC consists of a compilation of guidelines for the preparation of municipal inventories of GHG emissions. The GPC 2012 shares the terminology of various international programs reporting of emissions, including the C40 Cities Climate Leadership Group, the International Local Government GHG Emissions Analysis Protocol (IEAP-ICLEI) and the GHG Protocol Corporate Accounting and Reporting Standard. Moreover, GPC 2012 converses directly with the IPCC 2006 Guidelines for National GHG Inventories.
Aiming at a broad identification of emission sources and the establishment of a flow of information necessary for the completion of this study, four teams were created themes, being: stationary units, mobile units, and waste, industrial processes and product uses. The teams were grouped in four thematic workshops held between 26 and 27 June 2012 at the Administrative Center of the city of Goiania. During the implementation of these workshops were identified institutions and those responsible for sending the information necessary for calculations of emissions of greenhouse gases in the municipality.
For calculations of GHG emissions used the IPCC Inventory Software (IIS) version 2.0, a software developed and provided by the Intergovernmental Panel on Climate Change (IPCC).
The data were placed on the software as a correspondence between GPC and IPCC categories, except in the case of the activities of electricity consumption (scope 2 emissions, the GPC category that has no corresponding IPCC - these emissions have been included in Section 5 - other).
Another category that deserves observation refers to the disposal of solid waste in landfills. For this category we used the GPC, which allocates all expected emissions inventory in the year in which the waste is landfilled, IIS was not used for the calculation of this emission source.",2016320,,,"(-16.6868912, -49.2647943)","(-14.235004, -51.92528)"
Ayuntamiento de Madrid,31171,Spain,Madrid,C40,2015,12/31/2012 12:00:00 AM,Other: Based on CORINAIR METHODOLOGY,"The GHG Report comprehends Direct and Indirect Emissions (Scope 1 and 2).
- The Direct Emissions calculation is part of the Municipal Air Pollutant Emission Inventory (including GHG but also Particles, NOx, SO2, …). This inventory follows CORINAIR Methodology and complies with IPPC and TFEIP requirements.
- The Indirect Emissions are calculated using electricity grid consumption data and national grid emission factors.

However, there are plans to report according to the GPC Guidelines. For this CDP cycling report, emissions have also been calculated following GPC categories. See attached document in 'Further Information'",11980000,Increased,"In the year 2012, there has been an increase of a 1,03 % in the final energy consumption with respect to the year 2011, due to an slight increase in the use of Natural Gas.   

At the same time there has been an increase of a 2,48 % in GHG emissions due, mainly, to the increase in GHG Emissions of  the Spanish  Electricity  Grid.","(40.1076253, -3.3875673)","(40.463667, -3.74922)"
City of Paris,31175,France,Paris,C40,2015,12/31/2009 12:00:00 AM,Other: Bilan carbone,"We counted the direct and indirect GHG emissions that made possible the activity of the Paris territory as it was in 2009. e.g. for 1 liter of gasoline consumed in a parisian vehicle, the GHG emissions related to oil extraction, refining, and engine combustion are considered.

The methodology used is the Bilan Carbone (R) methodology, that gives national calculation ratios and rules to apply within the French territory. This method gives CO2e emissions aggregated for the 6 GHG of the Kyoto protocol.",7413300,Other: No change,"GHG balance have been assessed for Paris in 2004 and in 2009 so far. Emissions decreased from 2004 to 2009 thanks to the Climate and Energy Action Plan impact.  The figure will be updated in 2016 based on the emissions for the year 2014. So far, the figures provided in both 2013 and 2014 are the same because they account for the year 2009.","(48.856614, 2.3522219)","(46.227638, 2.213749)"
Stadt Zürich,35449,Switzerland,Zurich,,2015,12/31/2014 12:00:00 AM,Other: 2000-Watt society Methodology,"The 2000-Watt society methodology is a concept of sustainable development that uses two indicators: Primary energy demand and greenhouse gas emissions. The methodology is based on the final energy demand. Primary energy factors and GHG emission coefficients are according to the ecoinvent database (database with consistent and transparent, up-to-date Life Cycle Inventory (LCI) data – www.ecoinvent.org/database/). The grey energy of net imported other goods and services is not included in the methodology used by the city of Zurich as there is no specific data available. The methodology does not include emissions from non-energetic sources (e.g. landfills, waste water treatment).

Primary energy, final energy and effective energy: The 2000-watt methodology defines primary energy as the total energy present in the original energy source, plus its grey energy. The energy that reaches the customer, after all conversion and transmission losses, is called final energy. In turn, only a part of this is actually used: the effective energy. The rest is lost as waste heat. Basis for all calculations is the final energy demand.

Territorial principle: Basis of the methodology is the territorial principle. It refers to the energy consumed in the city area and the emissions which occur there. The energy sources grey energy and grey emissions are also taken into account. The grey energy of net imported other goods and service is not included in the 2000 watt society methodology (lack of specific data). However, the aim is to separately calculate and indicate the gray energy of net imported other goods and services.

All calculations in regards to primary energy demand and greenhouse gas emissions are made with the balancing program ECORegion (http://www.ecospeed.ch/).",2053157,Other: No change,"The course of greenhouse gas emissions since 2008 is more or less constant. We assume that the positive effects of modernizing insulation of buildings are mostly compensated  by increased demands for comfort (e.g. higher room temperatures, larger living spaces, longer heating periods).","(47.3686498, 8.5391825)","(46.818188, 8.227512)"
Fafe,50671,Portugal,Fafe,,2015,12/31/2013 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,148789,Decreased,The municipality has been implementing sustainable energy actions.,"(41.4508217, -8.1728619)","(39.399872, -8.224454)"
Village of Kadiovacik,35755,Turkey,Kadiovacik,,2015,12/31/2014 12:00:00 AM,,The worksheets (calculation tools) of green house gas protocol are used to calculate CO2 emission.,456.81,Decreased,"Photovoltaic panels
LED bulbs
decrease in fuel usage","(38.3434574, 26.553613)","(38.963745, 35.243322)"
District of Columbia,31090,USA,Washington DC,C40,2015,12/31/2013 12:00:00 AM,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Follow both the GPS and ICLIE CACP (earlier inventories). Beginning this year emissions are calculated using ICLEI's Clear Path tool.,8204579,Increased,Emissions increased less than 2% from 2012 to 2013 due primarily to a colder winter and resulting increase in energy consumption for heating purposes.,"(38.9071923, -77.0368707)","(37.09024, -95.712891)"
City of Los Angeles,10894,USA,Los Angeles,C40,2015,12/31/2013 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,32289089,Decreased,Two primary reasons for the slight reduction are reduction in GHG intensity of electricity system and increased fuel economy of light duty vehicles.,"(34.0522342, -118.2436849)","(37.09024, -95.712891)"
City of Cleveland,35859,USA,Cleveland,,2015,12/31/2010 12:00:00 AM,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),"This inventory was assembled through the collection and analysis of data with City of Cleveland staff as well as other city stakeholders such as utilities, regional coordinating agencies, local organizations and large emitters. Associated GHG emissions for all activities were calculated using an approach consistent with the International Council for Local Environmental Initiatives (ICLEI) - U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI) as the main guiding document, with methodologies from The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA) also referenced. 

Tools - Inventory Management System:
Most of the calculations used to develop this inventory were carried out in an Information Management System (IMS), a Microsoft Excel-based spreadsheet that collects into one tool the original data, methodology applied, emission factors selected and a summary of GHG emission results. The IMS also provides charting, forecasting and benchmarking capabilities

Additional Notes:

> Scope 1 emissions includes stationary combustion and industrial process related emissions reported by some of the large emitters in the city. Direct fuel consumed numbers are not available for these emitters.
> Emissions associated with electricity generation plants is included under Scope 2 as indirect  emissions, except electricity consumed numbers reported from Rail transit under Scope 1 emissions.
 > Only fuels consumed that were inventoried under Scope 1 emissions have been reported in C1.7",11889595,Other: This is our first year of estimation,2010 Baseline Inventory that’s being reported is our 1st comprehensive GHG inventory.,"(41.49932, -81.6943605)","(37.09024, -95.712891)"
City of Stockholm,3429,Sweden,Stockholm,C40,2015,12/31/2012 12:00:00 AM,Other:,"The Stockholm proprietary method

The total emissions for the community include (Scope 1 & 2 as defined in ""International standard for determining GHG for cities"" Version 2.1 and ""Global protocol for community-scale GHG (GPD)"" Pilot Version 1.0”. Scope 3 defined as the life cycle emissions of the energy use):

Scope 1 & 3 emissions from district heating & cooling system and other in-boundary fuel combustion for heating
Scope 2 & 3 emissions of the house-hold electricity consumption within the community boundary
Scope 1 & 3 emissions of use of gas  e.g. cooking
Scope 2 & 3 emissions for electricity use in the transportation system (metro, commuter, train) within the community
Scope 1 & 3 emissions for the fuel consumption from road traffic, non-road vehicles and shipping, & scope 1 emissions from aviation (within the landing & take-off cycle, i.e. up to 915m).

This means that scope 3 emissions from transport of inhabitants outside the community boundary is not included (but transport of non-inhabitants within the community boundary is). Emission from household waste incineration is embedded in the district heating emissions, since household waste is a source of energy used in district heating. Energy use for waste-water handling is included in the total community energy use.

Emission factors are collected from a report published by Swedish Environmental Research Institute Ltd. (IVL) in 2001 and Thermal Engineering Research Institute (Värmeforsk) in 2011. The reports are widely used and acknowledged. The global warming potentials are GWP100 from IPCC 2007, as recommended by the Swedish Environmental Protection Agency (SEPA).

Energy statistics are collected from different sources: district heating & gas statistics are collected from the companies; electricity statistics is compiled and collected from Statistics Sweden; emissions from road transport is modeled using an extensive emission model combined with a road model over Stockholm (includes a variety vehicles, speeds, road types etc) and non-road emissions are taken from Statistics Sweden; marine emissions within the community boundary are based on emissions & energy use presented in environmental reports from shipping companies and Ports of Stockholm.",2511000,Decreased,"Total emissions from the categories in Stockholm estimates at system boundaries have been reduced significantly over the past 10 years. Meanwhile , the population has grown by about 200 000 inhabitants. In Stockholm, it can be said that the reduction in per capita emissions by half will depend on the actual response , half of the population growth .

The 2013 follow-up of greenhouse gas emissions in Stockholm is estimated at 3.0 tonnes per capita in 2012. The estimates are preliminary and based on forecasted values. Calculated values for the 2011 greenhouse gas emissions, based on available statistics and modeling, is 3.2 tonnes per capita .
Energy use for heating has decreased in 2012, which is probably due to energy efficiency measures and conversions ( from oil to heat pumps). Stockholm has a clear reduction of the energy supply per capita for heating sector. The use of gas in the city decreases. Electricity use is however quite constant. There has been a large reduction in car traffic and a slight increase in the share of light trucks.
In the category of passenger cars have petrol car proportion dropped in favor of gas and ethanol cars, but most of all diesel cars. Diesel passenger cars consist increasingly of environmentally rated efficient diesel cars. Along with the decrease in transport activity ,this leads to strong overall emission reductions in the transport sector.
The preliminary figures show that 2015 target achieved already in 2012. But the variation is significant from year to year, depending on the rainfall situation and temperature.","(59.3293235, 18.0685808)","(60.128161, 18.643501)"
Comune di Piacenza,36495,Italy,Piacenza,,2015,12/31/1990 12:00:00 AM,,"The SEAP consists of two parts:

1. The emissions inventory base (EIB), which provides information about the energy consumption of the township, on current and future CO2 emissions, calculated using the conversion factors listed in the guidelines of the European Commission, quantifies the amount of CO2 down, identify problems and opportunities for sustainable energy development of the territory and potential in relation to the exploitation of renewable energy sources.

Year taken as reference for calculations is 1990, in which the total CO2 emissions in the municipality of Piacenza amounted to 615,452 tons.

Following the guidelines of the EU total emissions have been separated the quantities resulting from industrial / commercial and the relative proportion of mobility on the same highway as Admiral. The Town Council has no direct powers. Therefore, emissions from sectors which Admiral. They can hack through their regulatory instruments / regulations and their initiatives / incentives (Municipality as Consumer, Construction and Urban Planning, Mobility and Transport, Agriculture and Forestry, Waste Management, Strategic Planning, Communication and Information) amounted to 284,462 tons., as the basis on which to calculate the amount to be cut down to move in 2020 to a value of at least 20% lower than in 1990.

In 2020, CO2 emissions from the sectors mentioned above correspond without corrective action to 338,259 tons. The set of actions that will be put in place will generate savings of 111,926 tons to 226,333 tons, bringing this value. equal to the value of 1990 decreased by 20.4%. Also in the SEAP were also included actions whose effects can not be quantified in terms of numbers but will also contribute to the achievement / improvement of the result.

2. The Action Plan (SEAP), which identifies a set of actions that the Administration intends to pursue in order to achieve the CO2 reduction defined in the EIB.

The Action Plan is the instrument through which the municipality intends to achieve the goal of reduction of 111,926 tons. CO2 emissions in 2020.

E 'was structured by defining n. 8 sectors of intervention for each specific actions are identified (n. 25) outlined in tabs that slope down detailed rules for implementation and the resources that the Town Council intends to put in place.",615452,,,"(45.0519969, 9.6926451)","(41.87194, 12.56738)"
Comune di Ferrara,36286,Italy,Ferrara,,2015,12/31/2007 12:00:00 AM,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The Baseline Emissions Inventory (BEI) was created according to the methodological instrument made available by Emilia-Romagna Region, with the technical-scientific support of the ARPA (Regional Agency for the Prevention and the Environment) within the Climate Plans regional work group, in which the Municipality of Ferrara participates. 
The cognitive foundation for producing the inventory is represented by the regional inventory of greenhouse gas emissions, created by the Emilia-Romagna Region and ARPA Emilia-Romagna, according to the standard methods of estimation recognised on an international level (IPCC, CORINAIR). To construct this regional inventory, the INEMAR software was used (INventario EMissioni ARia: Air Emissions Inventory), which consists of an application system created to estimate the emissions of various pollutants, for various types of activity (e.g.: heating, traffic, agriculture and industry) and by type of fuel, according to the international classification adopted in the field of EMEP-CORINAIR inventories. As envisaged by the Intergovernmental Panel on Climate Change (IPCC) Guidelines, in order to calculate emissions, the “bottom‐up” method was used, based on the sector end-use of fuels. In those cases where it was not possible to obtain accurate data, particularly concerning territorial data, a ""top-down"" approach was used, resorting to statistical processing of data aggregated at a provincial level.
The overall picture of emissions of the Terre Estensi Association was built from the emissions inventory of the individual Municipalities of Ferrara, Masi Torello and Voghiera that constitute the Association, making the sum of the contributions of the three Municipalities. In line with the agreements within the Regional Work Group on Climate Plans, the year 2007 was chosen as a baseline reference year. The classification of the sources was created in accordance with the Cartesio Guidelines, which correspond with the ICLEI Protocol and ISO 14064.",1582605.13,Other: This is our first year of estimation,,"(44.8357395, 11.6189949)","(41.87194, 12.56738)"
City of Durban,35863,South Africa,Durban,C40,2015,12/31/2013 12:00:00 AM,Other:,The protocols used were designed to provide standardized set of guidelines to assist local governments in quantifying and reporting GHG emissions associated with their government and community operations. Both protocols are based upon the Corporate GHG Protocol developed by the World Resources Institute (WRI) and the World Business Council for Sustainable Development (WBCSD) as well as technical guidance provided by the United Nations Intergovernmental Panel on Climate Change (IPCC).,7008647,Increased,Primarily due to better data collection and addressing data gaps.,"(-29.8586804, 31.0218404)","(-30.559482, 22.937506)"
